Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2020/05/07
Anzola d'Ossola;103002;-1;0;0;2020/05/07
Arizzano;103003;-1;6;2.9800000190734863;2020/05/07
Arola;103004;-1;0;0;2020/05/07
Aurano;103005;-1;1;9.710000038146973;2020/05/07
Baceno;103006;-1;0;0;2020/05/07
Bannio Anzino;103007;-1;0;0;2020/05/07
Baveno;103008;-1;6;1.2200000286102295;2020/05/07
Bee;103009;-1;1;1.3200000524520874;2020/05/07
Belgirate;103010;-1;16;31.809999465942383;2020/05/07
Beura-Cardezza;103011;-1;6;4.090000152587891;2020/05/07
Bognanco;103012;-1;0;0;2020/05/07
Brovello-Carpugnino;103013;-1;0;0;2020/05/07
Calasca-Castiglione;103014;-1;2;3.2699999809265137;2020/05/07
Cambiasca;103015;-1;5;3.0799999237060547;2020/05/07
Cannero Riviera;103016;-1;0;0;2020/05/07
Cannobio;103017;-1;10;1.9500000476837158;2020/05/07
Caprezzo;103018;-1;0;0;2020/05/07
Casale Corte Cerro;103019;-1;9;2.5999999046325684;2020/05/07
Ceppo Morelli;103021;-1;0;0;2020/05/07
Cesara;103022;-1;0;0;2020/05/07
Cossogno;103023;-1;7;10.3100004196167;2020/05/07
Craveggia;103024;-1;3;3.940000057220459;2020/05/07
Crevoladossola;103025;-1;4;0.8700000047683716;2020/05/07
Crodo;103026;-1;0;0;2020/05/07
Domodossola;103028;-1;26;1.4299999475479126;2020/05/07
Druogno;103029;-1;1;0.9399999976158142;2020/05/07
Formazza;103031;-1;0;0;2020/05/07
Germagno;103032;-1;0;0;2020/05/07
Ghiffa;103033;-1;25;10.619999885559082;2020/05/07
Gignese;103034;-1;1;0.949999988079071;2020/05/07
Gravellona Toce;103035;-1;29;3.7100000381469727;2020/05/07
Gurro;103036;-1;0;0;2020/05/07
Intragna;103037;-1;0;0;2020/05/07
Loreglia;103038;-1;0;0;2020/05/07
Macugnaga;103039;-1;1;1.850000023841858;2020/05/07
Madonna del Sasso;103040;-1;2;4.940000057220459;2020/05/07
Malesco;103041;-1;0;0;2020/05/07
Masera;103042;-1;1;0.6800000071525574;2020/05/07
Massiola;103043;-1;0;0;2020/05/07
Mergozzo;103044;-1;2;0.9200000166893005;2020/05/07
Miazzina;103045;-1;4;10.470000267028809;2020/05/07
Montecrestese;103046;-1;4;3.140000104904175;2020/05/07
Montescheno;103047;-1;1;2.549999952316284;2020/05/07
Nonio;103048;-1;3;3.4800000190734863;2020/05/07
Oggebbio;103049;-1;2;2.2899999618530273;2020/05/07
Omegna;103050;-1;106;6.980000019073486;2020/05/07
Ornavasso;103051;-1;8;2.3299999237060547;2020/05/07
Pallanzeno;103052;-1;1;0.8700000047683716;2020/05/07
Piedimulera;103053;-1;2;1.309999942779541;2020/05/07
Pieve Vergonte;103054;-1;1;0.4000000059604645;2020/05/07
Premeno;103055;-1;8;10.960000038146973;2020/05/07
Premia;103056;-1;2;3.619999885559082;2020/05/07
Premosello-Chiovenda;103057;-1;45;23.18000030517578;2020/05/07
Quarna Sopra;103058;-1;0;0;2020/05/07
Quarna Sotto;103059;-1;2;5.190000057220459;2020/05/07
Re;103060;-1;1;1.3600000143051147;2020/05/07
San Bernardino Verbano;103061;-1;1;0.7599999904632568;2020/05/07
Santa Maria Maggiore;103062;-1;1;0.7699999809265137;2020/05/07
Stresa;103064;-1;10;2.049999952316284;2020/05/07
Toceno;103065;-1;2;2.740000009536743;2020/05/07
Trarego Viggiona;103066;-1;0;0;2020/05/07
Trasquera;103067;-1;0;0;2020/05/07
Trontano;103068;-1;0;0;2020/05/07
Valstrona;103069;-1;1;0.8199999928474426;2020/05/07
Vanzone con San Carlo;103070;-1;2;5.239999771118164;2020/05/07
Varzo;103071;-1;2;0.9900000095367432;2020/05/07
Verbania;103072;-1;168;5.510000228881836;2020/05/07
Vignone;103074;-1;5;4.179999828338623;2020/05/07
Villadossola;103075;-1;12;1.840000033378601;2020/05/07
Villette;103076;-1;0;0;2020/05/07
Vogogna;103077;-1;25;14.239999771118164;2020/05/07
Borgomezzavalle;103078;-1;0;0;2020/05/07
Valle Cannobina;103079;-1;2;4.119999885559082;2020/05/07
Agliè;001001;-1;4;1.5199999809265137;2020/05/07
