Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2020/05/12
Anzola d'Ossola;103002;-1;0;0;2020/05/12
Arizzano;103003;-1;7;3.4800000190734863;2020/05/12
Arola;103004;-1;0;0;2020/05/12
Aurano;103005;-1;0;0;2020/05/12
Baceno;103006;-1;0;0;2020/05/12
Bannio Anzino;103007;-1;0;0;2020/05/12
Baveno;103008;-1;8;1.6299999952316284;2020/05/12
Bee;103009;-1;1;1.3200000524520874;2020/05/12
Belgirate;103010;-1;6;11.930000305175781;2020/05/12
Beura-Cardezza;103011;-1;5;3.4100000858306885;2020/05/12
Bognanco;103012;-1;0;0;2020/05/12
Brovello-Carpugnino;103013;-1;0;0;2020/05/12
Calasca-Castiglione;103014;-1;2;3.2699999809265137;2020/05/12
Cambiasca;103015;-1;6;3.700000047683716;2020/05/12
Cannero Riviera;103016;-1;0;0;2020/05/12
Cannobio;103017;-1;9;1.7599999904632568;2020/05/12
Caprezzo;103018;-1;0;0;2020/05/12
Casale Corte Cerro;103019;-1;8;2.309999942779541;2020/05/12
Ceppo Morelli;103021;-1;0;0;2020/05/12
Cesara;103022;-1;0;0;2020/05/12
Cossogno;103023;-1;6;8.84000015258789;2020/05/12
Craveggia;103024;-1;1;1.309999942779541;2020/05/12
Crevoladossola;103025;-1;2;0.4300000071525574;2020/05/12
Crodo;103026;-1;0;0;2020/05/12
Domodossola;103028;-1;24;1.3200000524520874;2020/05/12
Druogno;103029;-1;2;1.8799999952316284;2020/05/12
Formazza;103031;-1;0;0;2020/05/12
Germagno;103032;-1;0;0;2020/05/12
Ghiffa;103033;-1;22;9.350000381469727;2020/05/12
Gignese;103034;-1;2;1.909999966621399;2020/05/12
Gravellona Toce;103035;-1;22;2.819999933242798;2020/05/12
Gurro;103036;-1;0;0;2020/05/12
Intragna;103037;-1;0;0;2020/05/12
Loreglia;103038;-1;0;0;2020/05/12
Macugnaga;103039;-1;1;1.850000023841858;2020/05/12
Madonna del Sasso;103040;-1;1;2.4700000286102295;2020/05/12
Malesco;103041;-1;0;0;2020/05/12
Masera;103042;-1;1;0.6800000071525574;2020/05/12
Massiola;103043;-1;0;0;2020/05/12
Mergozzo;103044;-1;2;0.9200000166893005;2020/05/12
Miazzina;103045;-1;3;7.849999904632568;2020/05/12
Montecrestese;103046;-1;4;3.140000104904175;2020/05/12
Montescheno;103047;-1;1;2.549999952316284;2020/05/12
Nonio;103048;-1;0;0;2020/05/12
Oggebbio;103049;-1;2;2.2899999618530273;2020/05/12
Omegna;103050;-1;95;6.25;2020/05/12
Ornavasso;103051;-1;7;2.0399999618530273;2020/05/12
Pallanzeno;103052;-1;1;0.8700000047683716;2020/05/12
Piedimulera;103053;-1;2;1.309999942779541;2020/05/12
Pieve Vergonte;103054;-1;1;0.4000000059604645;2020/05/12
Premeno;103055;-1;8;10.960000038146973;2020/05/12
Premia;103056;-1;1;1.809999942779541;2020/05/12
Premosello-Chiovenda;103057;-1;34;17.520000457763672;2020/05/12
Quarna Sopra;103058;-1;0;0;2020/05/12
Quarna Sotto;103059;-1;2;5.190000057220459;2020/05/12
Re;103060;-1;3;4.079999923706055;2020/05/12
San Bernardino Verbano;103061;-1;0;0;2020/05/12
Santa Maria Maggiore;103062;-1;1;0.7699999809265137;2020/05/12
Stresa;103064;-1;10;2.049999952316284;2020/05/12
Toceno;103065;-1;0;0;2020/05/12
Trarego Viggiona;103066;-1;0;0;2020/05/12
Trasquera;103067;-1;0;0;2020/05/12
Trontano;103068;-1;0;0;2020/05/12
Valstrona;103069;-1;1;0.8199999928474426;2020/05/12
Vanzone con San Carlo;103070;-1;1;2.619999885559082;2020/05/12
Varzo;103071;-1;1;0.5;2020/05/12
Verbania;103072;-1;130;4.260000228881836;2020/05/12
Vignone;103074;-1;5;4.179999828338623;2020/05/12
Villadossola;103075;-1;10;1.5299999713897705;2020/05/12
Villette;103076;-1;0;0;2020/05/12
Vogogna;103077;-1;26;14.8100004196167;2020/05/12
Borgomezzavalle;103078;-1;0;0;2020/05/12
Valle Cannobina;103079;-1;1;2.059999942779541;2020/05/12
Agliè;001001;-1;4;1.5199999809265137;2020/05/12
Airasca;001002;-1;6;1.6299999952316284;2020/05/12
Ala di Stura;001003;-1;1;2.2100000381469727;2020/05/12
Albiano d'Ivrea;001004;-1;1;0.6100000143051147;2020/05/12
Almese;001006;-1;13;2.0399999618530273;2020/05/12
Alpette;001007;-1;1;4.130000114440918;2020/05/12
Alpignano;001008;-1;182;11.109999656677246;2020/05/12
Andezeno;001009;-1;2;0.9900000095367432;2020/05/12
Andrate;001010;-1;1;2;2020/05/12
Angrogna;001011;-1;2;2.319999933242798;2020/05/12
Arignano;001012;-1;5;4.650000095367432;2020/05/12
Avigliana;001013;-1;36;2.869999885559082;2020/05/12
Azeglio;001014;-1;2;1.590000033378601;2020/05/12
Bairo;001015;-1;16;20;2020/05/12
Balangero;001016;-1;6;1.899999976158142;2020/05/12
Baldissero Canavese;001017;-1;0;0;2020/05/12
Baldissero Torinese;001018;-1;6;1.6299999952316284;2020/05/12
Balme;001019;-1;0;0;2020/05/12
Banchette;001020;-1;4;1.2300000190734863;2020/05/12
Barbania;001021;-1;5;3.119999885559082;2020/05/12
Bardonecchia;001022;-1;7;2.2200000286102295;2020/05/12
Barone Canavese;001023;-1;1;1.7000000476837158;2020/05/12
Beinasco;001024;-1;93;5.190000057220459;2020/05/12
Bibiana;001025;-1;3;0.8700000047683716;2020/05/12
Bobbio Pellice;001026;-1;0;0;2020/05/12
Bollengo;001027;-1;3;1.3799999952316284;2020/05/12
Borgaro Torinese;001028;-1;47;3.950000047683716;2020/05/12
Borgiallo;001029;-1;0;0;2020/05/12
Borgofranco d'Ivrea;001030;-1;5;1.3600000143051147;2020/05/12
Borgomasino;001031;-1;3;3.809999942779541;2020/05/12
Borgone Susa;001032;-1;5;2.259999990463257;2020/05/12
Bosconero;001033;-1;85;27.1299991607666;2020/05/12
Brandizzo;001034;-1;89;10.1899995803833;2020/05/12
Bricherasio;001035;-1;9;1.9500000476837158;2020/05/12
Brosso;001036;-1;0;0;2020/05/12
Brozolo;001037;-1;2;4.590000152587891;2020/05/12
Bruino;001038;-1;25;2.869999885559082;2020/05/12
Brusasco;001039;-1;27;17.670000076293945;2020/05/12
Bruzolo;001040;-1;1;0.6600000262260437;2020/05/12
Buriasco;001041;-1;2;1.4800000190734863;2020/05/12
Burolo;001042;-1;2;1.75;2020/05/12
Busano;001043;-1;1;0.6100000143051147;2020/05/12
Bussoleno;001044;-1;4;0.6700000166893005;2020/05/12
Buttigliera Alta;001045;-1;10;1.559999942779541;2020/05/12
Cafasse;001046;-1;8;2.3399999141693115;2020/05/12
Caluso;001047;-1;5;0.6600000262260437;2020/05/12
Cambiano;001048;-1;74;12.369999885559082;2020/05/12
Campiglione Fenile;001049;-1;0;0;2020/05/12
Candia Canavese;001050;-1;0;0;2020/05/12
Candiolo;001051;-1;18;3.190000057220459;2020/05/12
Canischio;001052;-1;0;0;2020/05/12
Cantalupa;001053;-1;4;1.5299999713897705;2020/05/12
Cantoira;001054;-1;1;1.7400000095367432;2020/05/12
Caprie;001055;-1;5;2.4000000953674316;2020/05/12
Caravino;001056;-1;7;7.760000228881836;2020/05/12
Carema;001057;-1;0;0;2020/05/12
Carignano;001058;-1;71;7.659999847412109;2020/05/12
Carmagnola;001059;-1;211;7.28000020980835;2020/05/12
Casalborgone;001060;-1;4;2.119999885559082;2020/05/12
Cascinette d'Ivrea;001061;-1;0;0;2020/05/12
Caselette;001062;-1;10;3.299999952316284;2020/05/12
Caselle Torinese;001063;-1;28;2.009999990463257;2020/05/12
Castagneto Po;001064;-1;1;0.5600000023841858;2020/05/12
Castagnole Piemonte;001065;-1;2;0.8899999856948853;2020/05/12
Castellamonte;001066;-1;32;3.2200000286102295;2020/05/12
Castelnuovo Nigra;001067;-1;2;4.650000095367432;2020/05/12
Castiglione Torinese;001068;-1;11;1.690000057220459;2020/05/12
Cavagnolo;001069;-1;10;4.860000133514404;2020/05/12
Cavour;001070;-1;44;8.010000228881836;2020/05/12
Cercenasco;001071;-1;8;4.420000076293945;2020/05/12
Ceres;001072;-1;2;1.909999966621399;2020/05/12
Ceresole Reale;001073;-1;0;0;2020/05/12
Cesana Torinese;001074;-1;0;0;2020/05/12
Chialamberto;001075;-1;15;40.7599983215332;2020/05/12
Chianocco;001076;-1;7;4.340000152587891;2020/05/12
Chiaverano;001077;-1;4;1.940000057220459;2020/05/12
Chieri;001078;-1;114;3.0799999237060547;2020/05/12
Chiesanuova;001079;-1;0;0;2020/05/12
Chiomonte;001080;-1;0;0;2020/05/12
Chiusa di San Michele;001081;-1;1;0.6200000047683716;2020/05/12
Chivasso;001082;-1;127;4.71999979019165;2020/05/12
Ciconio;001083;-1;0;0;2020/05/12
Cintano;001084;-1;1;3.9700000286102295;2020/05/12
Cinzano;001085;-1;1;3.0299999713897705;2020/05/12
Ciriè;001086;-1;40;2.1500000953674316;2020/05/12
Claviere;001087;-1;0;0;2020/05/12
Coassolo Torinese;001088;-1;0;0;2020/05/12
Coazze;001089;-1;3;0.9300000071525574;2020/05/12
Collegno;001090;-1;119;2.4000000953674316;2020/05/12
Colleretto Castelnuovo;001091;-1;0;0;2020/05/12
Colleretto Giacosa;001092;-1;0;0;2020/05/12
Condove;001093;-1;10;2.180000066757202;2020/05/12
Corio;001094;-1;99;30.850000381469727;2020/05/12
Cossano Canavese;001095;-1;2;4.119999885559082;2020/05/12
Cuceglio;001096;-1;3;3.0299999713897705;2020/05/12
Cumiana;001097;-1;10;1.2699999809265137;2020/05/12
Cuorgnè;001098;-1;15;1.5499999523162842;2020/05/12
Druento;001099;-1;24;2.7100000381469727;2020/05/12
Exilles;001100;-1;0;0;2020/05/12
Favria;001101;-1;6;1.1399999856948853;2020/05/12
Feletto;001102;-1;6;2.6500000953674316;2020/05/12
Fenestrelle;001103;-1;2;3.9200000762939453;2020/05/12
Fiano;001104;-1;7;2.619999885559082;2020/05/12
Fiorano Canavese;001105;-1;0;0;2020/05/12
Foglizzo;001106;-1;5;2.1600000858306885;2020/05/12
Forno Canavese;001107;-1;5;1.5;2020/05/12
Frassinetto;001108;-1;0;0;2020/05/12
Front;001109;-1;6;3.6600000858306885;2020/05/12
Frossasco;001110;-1;9;3.140000104904175;2020/05/12
Garzigliana;001111;-1;0;0;2020/05/12
Gassino Torinese;001112;-1;8;0.8399999737739563;2020/05/12
Germagnano;001113;-1;1;0.8600000143051147;2020/05/12
Giaglione;001114;-1;1;1.6399999856948853;2020/05/12
Giaveno;001115;-1;44;2.690000057220459;2020/05/12
Givoletto;001116;-1;5;1.2699999809265137;2020/05/12
Gravere;001117;-1;1;1.4800000190734863;2020/05/12
Groscavallo;001118;-1;1;5.03000020980835;2020/05/12
Grosso;001119;-1;2;1.9500000476837158;2020/05/12
Grugliasco;001120;-1;151;4.019999980926514;2020/05/12
Ingria;001121;-1;0;0;2020/05/12
Inverso Pinasca;001122;-1;5;7.119999885559082;2020/05/12
Isolabella;001123;-1;1;2.609999895095825;2020/05/12
Issiglio;001124;-1;1;2.5799999237060547;2020/05/12
Ivrea;001125;-1;47;2;2020/05/12
La Cassa;001126;-1;4;2.2200000286102295;2020/05/12
La Loggia;001127;-1;22;2.490000009536743;2020/05/12
Lanzo Torinese;001128;-1;68;13.5600004196167;2020/05/12
Lauriano;001129;-1;22;15.319999694824219;2020/05/12
Leini;001130;-1;32;1.940000057220459;2020/05/12
Lemie;001131;-1;0;0;2020/05/12
Lessolo;001132;-1;2;1.100000023841858;2020/05/12
Levone;001133;-1;0;0;2020/05/12
Locana;001134;-1;2;1.3899999856948853;2020/05/12
Lombardore;001135;-1;3;1.7300000190734863;2020/05/12
Lombriasco;001136;-1;2;1.909999966621399;2020/05/12
Loranzè;001137;-1;1;0.8600000143051147;2020/05/12
Luserna San Giovanni;001139;-1;32;4.420000076293945;2020/05/12
Lusernetta;001140;-1;0;0;2020/05/12
Lusigliè;001141;-1;0;0;2020/05/12
Macello;001142;-1;0;0;2020/05/12
Maglione;001143;-1;0;0;2020/05/12
Marentino;001144;-1;2;1.5299999713897705;2020/05/12
Massello;001145;-1;0;0;2020/05/12
Mathi;001146;-1;5;1.2999999523162842;2020/05/12
Mattie;001147;-1;0;0;2020/05/12
Mazzè;001148;-1;13;3.140000104904175;2020/05/12
