Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2020/04/26
Anzola d'Ossola;103002;-1;1;2.4600000381469727;2020/04/26
Arizzano;103003;-1;8;3.9800000190734863;2020/04/26
Arola;103004;-1;0;0;2020/04/26
Aurano;103005;-1;1;9.710000038146973;2020/04/26
Baceno;103006;-1;0;0;2020/04/26
Bannio Anzino;103007;-1;0;0;2020/04/26
Baveno;103008;-1;9;1.8300000429153442;2020/04/26
Bee;103009;-1;1;1.3200000524520874;2020/04/26
Belgirate;103010;-1;18;35.790000915527344;2020/04/26
Beura-Cardezza;103011;-1;6;4.090000152587891;2020/04/26
Bognanco;103012;-1;1;5.320000171661377;2020/04/26
Brovello-Carpugnino;103013;-1;0;0;2020/04/26
Calasca-Castiglione;103014;-1;0;0;2020/04/26
Cambiasca;103015;-1;6;3.700000047683716;2020/04/26
Cannero Riviera;103016;-1;0;0;2020/04/26
Cannobio;103017;-1;6;1.1699999570846558;2020/04/26
Caprezzo;103018;-1;0;0;2020/04/26
Casale Corte Cerro;103019;-1;9;2.5999999046325684;2020/04/26
Ceppo Morelli;103021;-1;0;0;2020/04/26
Cesara;103022;-1;0;0;2020/04/26
Cossogno;103023;-1;5;7.360000133514404;2020/04/26
Craveggia;103024;-1;3;3.940000057220459;2020/04/26
Crevoladossola;103025;-1;4;0.8700000047683716;2020/04/26
Crodo;103026;-1;0;0;2020/04/26
Domodossola;103028;-1;36;1.9800000190734863;2020/04/26
Druogno;103029;-1;3;2.819999933242798;2020/04/26
Formazza;103031;-1;0;0;2020/04/26
Germagno;103032;-1;0;0;2020/04/26
Ghiffa;103033;-1;22;9.350000381469727;2020/04/26
Gignese;103034;-1;2;1.909999966621399;2020/04/26
Gravellona Toce;103035;-1;32;4.099999904632568;2020/04/26
Gurro;103036;-1;0;0;2020/04/26
Intragna;103037;-1;0;0;2020/04/26
Loreglia;103038;-1;0;0;2020/04/26
Macugnaga;103039;-1;1;1.850000023841858;2020/04/26
Madonna del Sasso;103040;-1;2;4.940000057220459;2020/04/26
Malesco;103041;-1;0;0;2020/04/26
Masera;103042;-1;2;1.350000023841858;2020/04/26
Massiola;103043;-1;0;0;2020/04/26
Mergozzo;103044;-1;7;3.2300000190734863;2020/04/26
Miazzina;103045;-1;4;10.470000267028809;2020/04/26
Montecrestese;103046;-1;2;1.5700000524520874;2020/04/26
Montescheno;103047;-1;5;12.760000228881836;2020/04/26
Nonio;103048;-1;4;4.650000095367432;2020/04/26
Oggebbio;103049;-1;3;3.440000057220459;2020/04/26
Omegna;103050;-1;106;6.980000019073486;2020/04/26
Ornavasso;103051;-1;6;1.75;2020/04/26
Pallanzeno;103052;-1;2;1.7400000095367432;2020/04/26
Piedimulera;103053;-1;3;1.9700000286102295;2020/04/26
Pieve Vergonte;103054;-1;4;1.590000033378601;2020/04/26
Premeno;103055;-1;5;6.849999904632568;2020/04/26
Premia;103056;-1;1;1.809999942779541;2020/04/26
Premosello-Chiovenda;103057;-1;57;29.3700008392334;2020/04/26
Quarna Sopra;103058;-1;0;0;2020/04/26
Quarna Sotto;103059;-1;2;5.190000057220459;2020/04/26
Re;103060;-1;1;1.3600000143051147;2020/04/26
San Bernardino Verbano;103061;-1;3;2.2799999713897705;2020/04/26
Santa Maria Maggiore;103062;-1;1;0.7699999809265137;2020/04/26
Stresa;103064;-1;9;1.850000023841858;2020/04/26
Toceno;103065;-1;2;2.740000009536743;2020/04/26
Trarego Viggiona;103066;-1;0;0;2020/04/26
Trasquera;103067;-1;0;0;2020/04/26
Trontano;103068;-1;0;0;2020/04/26
Valstrona;103069;-1;1;0.8199999928474426;2020/04/26
Vanzone con San Carlo;103070;-1;2;5.239999771118164;2020/04/26
Varzo;103071;-1;2;0.9900000095367432;2020/04/26
Verbania;103072;-1;189;6.199999809265137;2020/04/26
