Comune;Provincia;Positivi;Positivi per 100 abitanti;Abitanti;Verificato;Data;Codice ISTAT
Mirabello Monferrato;AL;1;1;1309;;2020/04/20;006094
San Germano Chisone;TO;1;1;1761;;2020/04/20;001242
Rueglio;TO;1;1;777;;2020/04/20;001230
Arquata Scrivia;AL;8;1;6368;;2020/04/20;006009
Rubiana;TO;3;1;2373;;2020/04/20;001229
Alfiano Natta;AL;1;1;779;;2020/04/20;006004
Rosta;TO;4;1;4957;;2020/04/20;001228
Pancalieri;TO;3;1;2091;;2020/04/20;001178
Re;VCO;1;1;736;;2020/04/20;103060
Prarolo;VC;1;1;726;;2020/04/20;002104
Fontaneto d'Agogna;NO;3;1;2651;;2020/04/20;003066
Rondissone;TO;1;1;1887;;2020/04/20;001225
Chianocco;TO;2;1;1612;;2020/04/20;001076
Divignano;NO;2;1;1414;;2020/04/20;003060
San Marzano Oliveto;AT;1;1;1016;;2020/04/20;005100
Zubiena;BI;1;1;1148;;2020/04/20;096082
Osasio;TO;1;1;917;;2020/04/20;001174
Cressa;NO;2;1;1605;;2020/04/20;003055
Comignago;NO;1;1;1259;;2020/04/20;003052
Riva presso Chieri;TO;7;1;4749;;2020/04/20;001215
Roletto;TO;3;1;2034;;2020/04/20;001222
Gabiano;AL;1;1;1095;;2020/04/20;006077
Coazze;TO;3;1;3236;;2020/04/20;001089
Masera;VCO;1;1;1478;;2020/04/20;103042
Incisa Scapaccino;AT;3;1;2186;;2020/04/20;005058
Valstrona;VCO;1;1;1216;;2020/04/20;103069
Bruzolo;TO;2;1;1526;;2020/04/20;001040
San Germano Vercellese;VC;1;1;1544;;2020/04/20;002131
Sangano;TO;4;1;3752;;2020/04/20;001241
Lenta;VC;1;1;833;;2020/04/20;002068
Tavigliano;BI;1;1;927;;2020/04/20;096066
Casalborgone;TO;2;1;1887;;2020/04/20;001060
Cascinette d'Ivrea;TO;1;1;1511;;2020/04/20;001061
San Benigno Canavese;TO;8;1;6030;;2020/04/20;001236
Santa Maria Maggiore;VCO;1;1;1292;;2020/04/20;103062
Bussoleno;TO;4;1;5941;;2020/04/20;001044
Busano;TO;1;1;1636;;2020/04/20;001043
Marano Ticino;NO;2;1;1651;;2020/04/20;003091
Salassa;TO;1;1;1850;;2020/04/20;001231
Burolo;TO;1;1;1144;;2020/04/20;001042
Palazzolo Vercellese;VC;1;1;1187;;2020/04/20;002090
Borgofranco d'Ivrea;TO;2;1;3672;;2020/04/20;001030
Grignasco;NO;4;1;4478;;2020/04/20;003079
Verzuolo;CN;7;1;6424;;2020/04/20;004240
Agliano Terme;AT;1;1;1592;;2020/04/20;005001
Asigliano Vercellese;VC;1;1;1442;;2020/04/20;002007
Salmour;CN;1;1;724;;2020/04/20;004202
Castelletto Stura;CN;2;1;1380;;2020/04/20;004049
Cavaglià;BI;5;1;3626;;2020/04/20;096016
Castagnito;CN;3;1;2194;;2020/04/20;004046
Cossano Belbo;CN;1;1;952;;2020/04/20;004074
Rocca Grimalda;AL;2;1;1474;;2020/04/20;006147
Casalgrasso;CN;2;1;1438;;2020/04/20;004045
Angrogna;TO;1;1;863;;2020/04/20;001011
Cannero Riviera;VCO;1;1;910;;2020/04/20;103016
Cerrione;BI;3;1;2881;;2020/04/20;096018
Loranzè;TO;1;1;1166;;2020/04/20;001137
Foglizzo;TO;3;1;2319;;2020/04/20;001106
Val di Chy;TO;1;1;1282;;2020/04/20;001317
Varisella;TO;1;1;830;;2020/04/20;001289
Crevoladossola;VCO;3;1;4600;;2020/04/20;103025
Rodello;CN;1;1;957;;2020/04/20;004196
Rossana;CN;1;1;866;;2020/04/20;004197
Diano d'Alba;CN;3;1;3621;;2020/04/20;004080
Villar Pellice;TO;1;1;1069;;2020/04/20;001306
Cortemilia;CN;2;1;2271;;2020/04/20;004073
Montanera;CN;1;1;749;;2020/04/20;004136
Villarbasse;TO;5;1;3455;;2020/04/20;001302
Novello;CN;1;1;983;;2020/04/20;004152
Cervere;CN;3;1;2262;;2020/04/20;004065
Ormea;CN;2;1;1587;;2020/04/20;004155
Ceresole Alba;CN;3;1;2054;;2020/04/20;004062
Ceva;CN;6;1;5697;;2020/04/20;004066
Castiglione Falletto;CN;1;1;699;;2020/04/20;004055
Narzole;CN;2;1;3496;;2020/04/20;004147
Pianfei;CN;2;1;2108;;2020/04/20;004165
Cannobio;VCO;5;1;5120;;2020/04/20;103017
Moretta;CN;6;1;4082;;2020/04/20;004143
Fiano;TO;4;1;2667;;2020/04/20;001104
Venasca;CN;2;1;1388;;2020/04/20;004237
Vigone;TO;3;1;5163;;2020/04/20;001299
Chiusa di Pesio;CN;4;1;3650;;2020/04/20;004068
Cantalupa;TO;3;1;2620;;2020/04/20;001053
Lessolo;TO;1;1;1820;;2020/04/20;001132
Busca;CN;14;1;10174;;2020/04/20;004034
Vauda Canavese;TO;1;1;1447;;2020/04/20;001290
Dronero;CN;9;1;7018;;2020/04/20;004082
Cassano Spinola;AL;2;1;1804;;2020/04/20;006191
Bene Vagienna;CN;5;1;3665;;2020/04/20;004019
Gassino Torinese;TO;11;1;9559;;2020/04/20;001112
Vische;TO;1;1;1268;;2020/04/20;001311
Lequio Tanaro;CN;1;1;741;;2020/04/20;004107
Albiano d'Ivrea;TO;1;1;1646;;2020/04/20;001004
La Morra;CN;3;1;2769;;2020/04/20;004105
Mottalciata;BI;1;1;1354;;2020/04/20;096037
Barolo;CN;1;1;690;;2020/04/20;004013
Masserano;BI;3;1;2094;;2020/04/20;096032
Frossasco;TO;4;1;2866;;2020/04/20;001110
Viù;TO;1;1;1016;;2020/04/20;001313
Grinzane Cavour;CN;2;1;2028;;2020/04/20;004100
Bagnasco;CN;1;1;1020;;2020/04/20;004008
Bee;VCO;1;1;755;;2020/04/20;103009
Valgrana;CN;1;1;777;;2020/04/20;004234
Voltaggio;AL;1;1;709;;2020/04/20;006190
Frabosa Sottana;CN;2;1;1530;;2020/04/20;004091
Lesegno;CN;1;1;829;;2020/04/20;004108
Ivrea;TO;34;1;23442;;2020/04/20;001125
Graglia;BI;2;1;1514;;2020/04/20;096028
Frabosa Soprana;CN;1;1;752;;2020/04/20;004090
Sanfrè;CN;2;1;3042;;2020/04/20;004208
Ponzone;AL;1;1;1012;;2020/04/20;006136
Germagnano;TO;1;1;1166;;2020/04/20;001113
Sampeyre;CN;1;1;993;;2020/04/20;004205
Vallo Torinese;TO;1;1;775;;2020/04/20;001286
San Michele Mondovì;CN;1;1;1933;;2020/04/20;004210
Groscavallo;TO;0;0;199;;2020/04/20;001118
Brovello-Carpugnino;VCO;0;0;711;;2020/04/20;103013
Caprezzo;VCO;0;0;169;;2020/04/20;103018
Denice;AL;0;0;173;;2020/04/20;006065
Osasco;TO;0;0;1153;;2020/04/20;001173
Issiglio;TO;0;0;387;;2020/04/20;001124
Frassinetto;TO;0;0;280;;2020/04/20;001108
Ailoche;BI;0;0;327;;2020/04/20;096001
Spigno Monferrato;AL;0;0;1007;;2020/04/20;006165
Castellania Coppi;AL;0;0;89;;2020/04/20;006045
Parella;TO;0;0;430;;2020/04/20;001179
Verrone;BI;0;0;1247;;2020/04/20;096076
Villamiroglio;AL;0;0;306;;2020/04/20;006184
Cereseto;AL;0;0;403;;2020/04/20;006057
Fraconalto;AL;0;0;317;;2020/04/20;006069
Ingria;TO;0;0;44;;2020/04/20;001121
Bioglio;BI;0;0;886;;2020/04/20;096005
Massiola;VCO;0;0;126;;2020/04/20;103043
Ceresole Reale;TO;0;0;167;;2020/04/20;001073
Castelletto d'Erro;AL;0;0;149;;2020/04/20;006048
Calasca-Castiglione;VCO;0;0;611;;2020/04/20;103014
Zimone;BI;0;0;399;;2020/04/20;096081
Cavatore;AL;0;0;269;;2020/04/20;006055
Treville;AL;0;0;280;;2020/04/20;006175
Cesana Torinese;TO;0;0;943;;2020/04/20;001074
Pertusio;TO;0;0;758;;2020/04/20;001187
Garzigliana;TO;0;0;552;;2020/04/20;001111
Villanova Biellese;BI;0;0;185;;2020/04/20;096079
Fiorano Canavese;TO;0;0;769;;2020/04/20;001105
Villa del Bosco;BI;0;0;335;;2020/04/20;096078
Castelnuovo Nigra;TO;0;0;430;;2020/04/20;001067
Malesco;VCO;0;0;1379;;2020/04/20;103041
Ottiglio;AL;0;0;614;;2020/04/20;006120
Francavilla Bisio;AL;0;0;505;;2020/04/20;006070
Frascaro;AL;0;0;432;;2020/04/20;006071
Momperone;AL;0;0;210;;2020/04/20;006098
Moncestino;AL;0;0;196;;2020/04/20;006099
Mongiardino Ligure;AL;0;0;156;;2020/04/20;006100
Dorzano;BI;0;0;531;;2020/04/20;096025
Gifflenga;BI;0;0;113;;2020/04/20;096027
Pozzol Groppo;AL;0;0;291;;2020/04/20;006137
Montaldeo;AL;0;0;249;;2020/04/20;006103
Maglione;TO;0;0;417;;2020/04/20;001143
Montaldo Bormida;AL;0;0;637;;2020/04/20;006104
Montecastello;AL;0;0;312;;2020/04/20;006105
Castagnole Piemonte;TO;1;0;2244;;2020/04/20;001065
Moncenisio;TO;0;0;35;;2020/04/20;001157
Massello;TO;0;0;54;;2020/04/20;001145
Miagliano;BI;0;0;571;;2020/04/20;096034
Montemarzino;AL;0;0;301;;2020/04/20;006108
Crodo;VCO;0;0;1398;;2020/04/20;103026
Claviere;TO;0;0;210;;2020/04/20;001087
Morbello;AL;0;0;422;;2020/04/20;006110
Rosazza;BI;0;0;91;;2020/04/20;096055
Pomaro Monferrato;AL;0;0;355;;2020/04/20;006131
Mombello di Torino;TO;0;0;390;;2020/04/20;001153
Colleretto Giacosa;TO;0;0;573;;2020/04/20;001092
Mattie;TO;0;0;669;;2020/04/20;001147
Colleretto Castelnuovo;TO;0;0;316;;2020/04/20;001091
Formazza;VCO;0;0;442;;2020/04/20;103031
Odalengo Piccolo;AL;0;0;255;;2020/04/20;006117
Olivola;AL;0;0;113;;2020/04/20;006118
Piedicavallo;BI;0;0;178;;2020/04/20;096044
Mercenasco;TO;0;0;1231;;2020/04/20;001150
Lusernetta;TO;0;0;496;;2020/04/20;001140
Donato;BI;0;0;720;;2020/04/20;096024
Merana;AL;0;0;186;;2020/04/20;006093
Cesara;VCO;0;0;594;;2020/04/20;103022
Frassinello Monferrato;AL;0;0;500;;2020/04/20;006072
Orio Canavese;TO;0;0;774;;2020/04/20;001172
Brusnengo;BI;1;0;2019;;2020/04/20;096007
Callabiana;BI;0;0;133;;2020/04/20;096008
Camandona;BI;0;0;348;;2020/04/20;096009
Sardigliano;AL;0;0;395;;2020/04/20;006157
Novalesa;TO;0;0;538;;2020/04/20;001169
Loreglia;VCO;0;0;233;;2020/04/20;103038
Baceno;VCO;0;0;897;;2020/04/20;103006
Caprile;BI;0;0;190;;2020/04/20;096013
Ceppo Morelli;VCO;0;0;297;;2020/04/20;103021
Torrazzo;BI;0;0;204;;2020/04/20;096069
Lemie;TO;0;0;207;;2020/04/20;001131
Sala Monferrato;AL;0;0;334;;2020/04/20;006150
Exilles;TO;0;0;251;;2020/04/20;001100
Nomaglio;TO;0;0;286;;2020/04/20;001167
Chiesanuova;TO;0;0;233;;2020/04/20;001079
Gremiasco;AL;0;0;317;;2020/04/20;006083
Bannio Anzino;VCO;0;0;478;;2020/04/20;103007
Rocchetta Ligure;AL;0;0;212;;2020/04/20;006148
Castelletto Cervo;BI;0;0;820;;2020/04/20;096015
Grondona;AL;0;0;489;;2020/04/20;006085
Intragna;VCO;0;0;108;;2020/04/20;103037
Noasca;TO;0;0;116;;2020/04/20;001165
Malvicino;AL;0;0;79;;2020/04/20;006090
Roccaforte Ligure;AL;0;0;124;;2020/04/20;006146
Rivarone;AL;0;0;408;;2020/04/20;006145
Gurro;VCO;0;0;199;;2020/04/20;103036
Volpeglino;AL;0;0;132;;2020/04/20;006189
Settimo Rottaro;TO;0;0;472;;2020/04/20;001264
Cartosio;AL;0;0;737;;2020/04/20;006036
Cravanzana;CN;0;0;365;;2020/04/20;004076
Gottasecca;CN;0;0;141;;2020/04/20;004098
Gorzegno;CN;0;0;273;;2020/04/20;004097
Baldissero Canavese;TO;0;0;542;;2020/04/20;001017
Gaiola;CN;0;0;583;;2020/04/20;004093
Frassino;CN;0;0;269;;2020/04/20;004092
Faule;CN;0;0;488;;2020/04/20;004087
Balme;TO;0;0;111;;2020/04/20;001019
Entracque;CN;0;0;859;;2020/04/20;004084
Elva;CN;0;0;94;;2020/04/20;004083
Demonte;CN;0;0;1959;;2020/04/20;004079
Crissolo;CN;0;0;165;;2020/04/20;004077
Clavesana;CN;0;0;805;;2020/04/20;004071
Igliano;CN;0;0;65;;2020/04/20;004102
Cerretto Langhe;CN;0;0;430;;2020/04/20;004063
Celle di Macra;CN;0;0;88;;2020/04/20;004060
Canischio;TO;0;0;277;;2020/04/20;001052
Castino;CN;0;0;486;;2020/04/20;004057
Castiglione Tinella;CN;0;0;829;;2020/04/20;004056
Castelnuovo di Ceva;CN;0;0;106;;2020/04/20;004054
Castelmagno;CN;0;0;60;;2020/04/20;004053
Castelletto Uzzone;CN;0;0;314;;2020/04/20;004050
Balmuccia;VC;0;0;112;;2020/04/20;002008
Cartignano;CN;0;0;174;;2020/04/20;004044
Balocco;VC;0;0;227;;2020/04/20;002009
Cantoira;TO;0;0;576;;2020/04/20;001054
Isasca;CN;0;0;82;;2020/04/20;004103
Caprauna;CN;0;0;97;;2020/04/20;004039
Monforte d'Alba;CN;0;0;1995;;2020/04/20;004132
Pamparato;CN;0;0;295;;2020/04/20;004159
Ostana;CN;0;0;85;;2020/04/20;004156
Oncino;CN;0;0;78;;2020/04/20;004154
Nucetto;CN;0;0;410;;2020/04/20;004153
Niella Belbo;CN;0;0;361;;2020/04/20;004150
Neviglie;CN;0;0;369;;2020/04/20;004149
Murazzano;CN;0;0;832;;2020/04/20;004145
Monticello d'Alba;CN;0;0;2367;;2020/04/20;004142
Montemale di Cuneo;CN;0;0;229;;2020/04/20;004138
Montelupo Albese;CN;0;0;485;;2020/04/20;004137
Montaldo Roero;CN;0;0;846;;2020/04/20;004135
Monchiero;CN;0;0;578;;2020/04/20;004129
Lequio Berria;CN;0;0;464;;2020/04/20;004106
Monasterolo Casotto;CN;0;0;84;;2020/04/20;004127
Mombasiglio;CN;0;0;610;;2020/04/20;004125
Mombarcaro;CN;0;0;264;;2020/04/20;004124
Melle;CN;0;0;288;;2020/04/20;004122
Marsaglia;CN;0;0;222;;2020/04/20;004120
Marmora;CN;0;0;61;;2020/04/20;004119
Mango;CN;0;0;1318;;2020/04/20;004115
Magliano Alfieri;CN;1;0;2196;;2020/04/20;004113
Macra;CN;0;0;56;;2020/04/20;004112
Lisio;CN;0;0;188;;2020/04/20;004111
Limone Piemonte;CN;0;0;1457;;2020/04/20;004110
Boccioleto;VC;0;0;178;;2020/04/20;002014
Canosio;CN;0;0;82;;2020/04/20;004038
Carrosio;AL;0;0;500;;2020/04/20;006035
Rassa;VC;0;0;64;;2020/04/20;002110
Caluso;TO;3;0;7544;;2020/04/20;001047
Fobello;VC;0;0;192;;2020/04/20;002057
Fontanetto Po;VC;0;0;1103;;2020/04/20;002058
Paruzzaro;NO;1;0;2185;;2020/04/20;003114
Bobbio Pellice;TO;0;0;545;;2020/04/20;001026
Mollia;VC;0;0;98;;2020/04/20;002078
Massino Visconti;NO;0;0;1050;;2020/04/20;003093
Borgiallo;TO;0;0;588;;2020/04/20;001029
Landiona;NO;0;0;563;;2020/04/20;003083
Pila;VC;0;0;138;;2020/04/20;002096
Piode;VC;0;0;180;;2020/04/20;002097
Rimella;VC;0;0;135;;2020/04/20;002113
Candia Canavese;TO;0;0;1232;;2020/04/20;001050
Colazza;NO;0;0;451;;2020/04/20;003051
Cavaglietto;NO;0;0;383;;2020/04/20;003044
Castellazzo Novarese;NO;0;0;319;;2020/04/20;003042
Brosso;TO;0;0;394;;2020/04/20;001036
Rossa;VC;0;0;178;;2020/04/20;002121
Salasco;VC;0;0;225;;2020/04/20;002126
Caltignaga;NO;1;0;2517;;2020/04/20;003030
Sali Vercellese;VC;0;0;105;;2020/04/20;002127
Scopa;VC;0;0;391;;2020/04/20;002134
Alto Sermenza;VC;0;0;157;;2020/04/20;002170
Vocca;VC;0;0;161;;2020/04/20;002166
Cravagliana;VC;0;0;250;;2020/04/20;002048
Civiasco;VC;0;0;254;;2020/04/20;002043
Camerana;CN;0;0;594;;2020/04/20;004035
Battifollo;CN;0;0;212;;2020/04/20;004015
Brondello;CN;0;0;282;;2020/04/20;004032
Briga Alta;CN;0;0;40;;2020/04/20;004031
Briaglia;CN;0;0;307;;2020/04/20;004030
Bosia;CN;0;0;180;;2020/04/20;004026
Borgomale;CN;0;0;385;;2020/04/20;004024
Bonvicino;CN;0;0;98;;2020/04/20;004023
Bergolo;CN;0;0;56;;2020/04/20;004021
Benevello;CN;0;0;476;;2020/04/20;004020
Belvedere Langhe;CN;0;0;368;;2020/04/20;004018
Bellino;CN;0;0;104;;2020/04/20;004017
Campertogno;VC;0;0;235;;2020/04/20;002025
Bastia Mondovì;CN;0;0;667;;2020/04/20;004014
Cervatto;VC;0;0;58;;2020/04/20;002041
Barbaresco;CN;0;0;630;;2020/04/20;004011
Baldissero d'Alba;CN;0;0;1060;;2020/04/20;004010
Carcoforo;VC;0;0;76;;2020/04/20;002029
Arguello;CN;0;0;199;;2020/04/20;004007
Argentera;CN;0;0;77;;2020/04/20;004006
Alto;CN;0;0;130;;2020/04/20;004005
Albaretto della Torre;CN;0;0;224;;2020/04/20;004004
Aisone;CN;0;0;220;;2020/04/20;004002
Acceglio;CN;0;0;158;;2020/04/20;004001
Vinzaglio;NO;0;0;561;;2020/04/20;003164
San Giacomo Vercellese;VC;0;0;294;;2020/04/20;002035
Paroldo;CN;0;0;207;;2020/04/20;004160
Perlo;CN;0;0;114;;2020/04/20;004162
Pezzolo Valle Uzzone;CN;0;0;343;;2020/04/20;004164
Maranzana;AT;0;0;257;;2020/04/20;005061
Roure;TO;0;0;797;;2020/04/20;001227
Quaranti;AT;0;0;170;;2020/04/20;005088
Passerano Marmorito;AT;0;0;433;;2020/04/20;005082
Olmo Gentile;AT;0;0;74;;2020/04/20;005081
Moransengo;AT;0;0;189;;2020/04/20;005079
Montafia;AT;0;0;941;;2020/04/20;005073
Montabone;AT;0;0;326;;2020/04/20;005072
Mongardino;AT;0;0;894;;2020/04/20;005071
Monastero Bormida;AT;0;0;917;;2020/04/20;005068
Salza di Pinerolo;TO;0;0;77;;2020/04/20;001234
Mombaldone;AT;0;0;200;;2020/04/20;005064
Loazzolo;AT;0;0;330;;2020/04/20;005060
Robella;AT;0;0;484;;2020/04/20;005092
Trarego Viggiona;VCO;0;0;417;;2020/04/20;103066
Trasquera;VCO;0;0;175;;2020/04/20;103067
Trontano;VCO;0;0;1669;;2020/04/20;103068
Cossombrato;AT;0;0;508;;2020/04/20;005049
Cortazzone;AT;0;0;611;;2020/04/20;005047
Cortandone;AT;0;0;315;;2020/04/20;005045
San Giorio di Susa;TO;0;0;967;;2020/04/20;001245
San Martino Canavese;TO;0;0;817;;2020/04/20;001247
Chiusano d'Asti;AT;0;0;223;;2020/04/20;005038
Cessole;AT;0;0;388;;2020/04/20;005037
Carema;TO;0;0;771;;2020/04/20;001057
Roatto;AT;0;0;382;;2020/04/20;005091
Rorà;TO;0;0;237;;2020/04/20;001226
Pietraporzio;CN;0;0;73;;2020/04/20;004167
Alice Bel Colle;AL;0;0;746;;2020/04/20;006005
Carrega Ligure;AL;0;0;85;;2020/04/20;006034
Carpeneto;AL;0;0;948;;2020/04/20;006033
Cantalupo Ligure;AL;0;0;476;;2020/04/20;006028
Bozzole;AL;0;0;334;;2020/04/20;006023
Bosio;AL;0;0;1178;;2020/04/20;006022
Prali;TO;0;0;239;;2020/04/20;001202
Borgoratto Alessandrino;AL;0;0;550;;2020/04/20;006019
Quagliuzzo;TO;0;0;331;;2020/04/20;001208
Quassolo;TO;0;0;345;;2020/04/20;001209
Avolasca;AL;0;0;262;;2020/04/20;006010
Alzano Scrivia;AL;0;0;350;;2020/04/20;006008
Ribordone;TO;0;0;49;;2020/04/20;001212
Roccaverano;AT;0;0;395;;2020/04/20;005094
Albera Ligure;AL;0;0;300;;2020/04/20;006002
Viale;AT;0;0;243;;2020/04/20;005114
Vaglio Serra;AT;0;0;287;;2020/04/20;005111
Tonengo;AT;0;0;237;;2020/04/20;005110
Quarna Sopra;VCO;0;0;252;;2020/04/20;103058
Sessame;AT;0;0;263;;2020/04/20;005105
Serole;AT;0;0;113;;2020/04/20;005104
San Paolo Solbrito;AT;0;0;1197;;2020/04/20;005101
Ronco Canavese;TO;0;0;300;;2020/04/20;001224
San Giorgio Scarampi;AT;0;0;111;;2020/04/20;005098
Rocchetta Palafea;AT;0;0;346;;2020/04/20;005095
San Ponso;TO;0;0;253;;2020/04/20;001251
San Sebastiano da Po;TO;0;0;1936;;2020/04/20;001253
Castelnuovo Belbo;AT;0;0;847;;2020/04/20;005029
Roccasparvera;CN;0;0;743;;2020/04/20;004191
Sinio;CN;0;0;511;;2020/04/20;004220
Serravalle Langhe;CN;0;0;298;;2020/04/20;004219
Valgioie;TO;0;0;957;;2020/04/20;001285
Scagnello;CN;0;0;175;;2020/04/20;004216
Valprato Soana;TO;0;0;99;;2020/04/20;001288
San Benedetto Belbo;CN;0;0;163;;2020/04/20;004206
Sambuco;CN;0;0;87;;2020/04/20;004204
Sale San Giovanni;CN;0;0;172;;2020/04/20;004200
Ruffia;CN;0;0;363;;2020/04/20;004198
Roddino;CN;0;0;413;;2020/04/20;004195
Alpette;TO;0;0;242;;2020/04/20;001007
Andezeno;TO;1;0;2013;;2020/04/20;001009
Castelletto Molina;AT;0;0;156;;2020/04/20;005027
Roburent;CN;0;0;491;;2020/04/20;004186
Roascio;CN;0;0;100;;2020/04/20;004184
Rittana;CN;0;0;104;;2020/04/20;004182
Venaus;TO;0;0;882;;2020/04/20;001291
Priero;CN;0;0;523;;2020/04/20;004175
Prazzo;CN;0;0;171;;2020/04/20;004174
Vialfrè;TO;0;0;242;;2020/04/20;001296
Pontechianale;CN;0;0;163;;2020/04/20;004172
Vidracco;TO;0;0;528;;2020/04/20;001298
Piozzo;CN;0;0;980;;2020/04/20;004169
Piobesi d'Alba;CN;0;0;1354;;2020/04/20;004168
Usseglio;TO;0;0;201;;2020/04/20;001282
Stroppo;CN;0;0;103;;2020/04/20;004224
Torre Bormida;CN;0;0;171;;2020/04/20;004226
Torre Mondovì;CN;0;0;476;;2020/04/20;004227
Castellero;AT;0;0;290;;2020/04/20;005026
Cassinasco;AT;0;0;607;;2020/04/20;005021
Capriglio;AT;0;0;300;;2020/04/20;005019
Cantarana;AT;0;0;995;;2020/04/20;005018
Calosso;AT;0;0;1244;;2020/04/20;005015
Buttigliera d'Asti;AT;1;0;2542;;2020/04/20;005012
Bruno;AT;0;0;311;;2020/04/20;005010
Villette;VCO;0;0;278;;2020/04/20;103076
Strambinello;TO;0;0;270;;2020/04/20;001268
Strambino;TO;1;0;6290;;2020/04/20;001269
Tavagnasco;TO;0;0;795;;2020/04/20;001271
Aramengo;AT;0;0;565;;2020/04/20;005004
Vottignasco;CN;0;0;512;;2020/04/20;004250
Viola;CN;0;0;359;;2020/04/20;004249
Vinadio;CN;0;0;605;;2020/04/20;004248
Villar San Costanzo;CN;0;0;1535;;2020/04/20;004247
Traversella;TO;0;0;324;;2020/04/20;001278
Verduno;CN;0;0;560;;2020/04/20;004238
Valloriate;CN;0;0;107;;2020/04/20;004235
Valdieri;CN;0;0;910;;2020/04/20;004233
Usseaux;TO;0;0;186;;2020/04/20;001281
Torresina;CN;0;0;48;;2020/04/20;004229
Torre San Giorgio;CN;0;0;732;;2020/04/20;004228
Levice;CN;0;0;210;;2020/04/20;004109
