Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2020/04/27
Anzola d'Ossola;103002;-1;1;2.4600000381469727;2020/04/27
Arizzano;103003;-1;8;3.9800000190734863;2020/04/27
Arola;103004;-1;0;0;2020/04/27
Aurano;103005;-1;1;9.710000038146973;2020/04/27
Baceno;103006;-1;0;0;2020/04/27
Bannio Anzino;103007;-1;0;0;2020/04/27
Baveno;103008;-1;9;1.8300000429153442;2020/04/27
Bee;103009;-1;1;1.3200000524520874;2020/04/27
Belgirate;103010;-1;18;35.790000915527344;2020/04/27
Beura-Cardezza;103011;-1;6;4.090000152587891;2020/04/27
Bognanco;103012;-1;1;5.320000171661377;2020/04/27
Brovello-Carpugnino;103013;-1;0;0;2020/04/27
Calasca-Castiglione;103014;-1;0;0;2020/04/27
Cambiasca;103015;-1;6;3.700000047683716;2020/04/27
Cannero Riviera;103016;-1;0;0;2020/04/27
Cannobio;103017;-1;6;1.1699999570846558;2020/04/27
Caprezzo;103018;-1;0;0;2020/04/27
Casale Corte Cerro;103019;-1;9;2.5999999046325684;2020/04/27
Ceppo Morelli;103021;-1;0;0;2020/04/27
Cesara;103022;-1;0;0;2020/04/27
Cossogno;103023;-1;5;7.360000133514404;2020/04/27
Craveggia;103024;-1;3;3.940000057220459;2020/04/27
Crevoladossola;103025;-1;4;0.8700000047683716;2020/04/27
Crodo;103026;-1;0;0;2020/04/27
Domodossola;103028;-1;35;1.9299999475479126;2020/04/27
Druogno;103029;-1;3;2.819999933242798;2020/04/27
Formazza;103031;-1;0;0;2020/04/27
Germagno;103032;-1;0;0;2020/04/27
Ghiffa;103033;-1;22;9.350000381469727;2020/04/27
Gignese;103034;-1;2;1.909999966621399;2020/04/27
Gravellona Toce;103035;-1;32;4.099999904632568;2020/04/27
Gurro;103036;-1;0;0;2020/04/27
Intragna;103037;-1;0;0;2020/04/27
Loreglia;103038;-1;0;0;2020/04/27
Macugnaga;103039;-1;1;1.850000023841858;2020/04/27
Madonna del Sasso;103040;-1;1;2.4700000286102295;2020/04/27
Malesco;103041;-1;0;0;2020/04/27
Masera;103042;-1;2;1.350000023841858;2020/04/27
Massiola;103043;-1;0;0;2020/04/27
Mergozzo;103044;-1;6;2.7699999809265137;2020/04/27
Miazzina;103045;-1;4;10.470000267028809;2020/04/27
Montecrestese;103046;-1;2;1.5700000524520874;2020/04/27
Montescheno;103047;-1;1;2.549999952316284;2020/04/27
Nonio;103048;-1;4;4.650000095367432;2020/04/27
Oggebbio;103049;-1;3;3.440000057220459;2020/04/27
Omegna;103050;-1;104;6.849999904632568;2020/04/27
Ornavasso;103051;-1;6;1.75;2020/04/27
Pallanzeno;103052;-1;2;1.7400000095367432;2020/04/27
Piedimulera;103053;-1;3;1.9700000286102295;2020/04/27
Pieve Vergonte;103054;-1;4;1.590000033378601;2020/04/27
Premeno;103055;-1;5;6.849999904632568;2020/04/27
Premia;103056;-1;1;1.809999942779541;2020/04/27
Premosello-Chiovenda;103057;-1;57;29.3700008392334;2020/04/27
Quarna Sopra;103058;-1;0;0;2020/04/27
Quarna Sotto;103059;-1;2;5.190000057220459;2020/04/27
Re;103060;-1;1;1.3600000143051147;2020/04/27
San Bernardino Verbano;103061;-1;3;2.2799999713897705;2020/04/27
Santa Maria Maggiore;103062;-1;1;0.7699999809265137;2020/04/27
Stresa;103064;-1;9;1.850000023841858;2020/04/27
Toceno;103065;-1;2;2.740000009536743;2020/04/27
Trarego Viggiona;103066;-1;0;0;2020/04/27
Trasquera;103067;-1;0;0;2020/04/27
Trontano;103068;-1;0;0;2020/04/27
