Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;3;7.159999847412109;2020/04/17
Anzola d'Ossola;103002;-1;1;2.4600000381469727;2020/04/17
Arizzano;103003;-1;7;3.4800000190734863;2020/04/17
Arola;103004;-1;1;4.119999885559082;2020/04/17
Aurano;103005;-1;1;9.710000038146973;2020/04/17
Baceno;103006;-1;0;0;2020/04/17
Bannio Anzino;103007;-1;0;0;2020/04/17
Baveno;103008;-1;9;1.8300000429153442;2020/04/17
Bee;103009;-1;2;2.6500000953674316;2020/04/17
Belgirate;103010;-1;19;37.77000045776367;2020/04/17
Beura-Cardezza;103011;-1;6;4.090000152587891;2020/04/17
Bognanco;103012;-1;1;5.320000171661377;2020/04/17
Brovello-Carpugnino;103013;-1;0;0;2020/04/17
Calasca-Castiglione;103014;-1;0;0;2020/04/17
Cambiasca;103015;-1;11;6.78000020980835;2020/04/17
Cannero Riviera;103016;-1;1;1.100000023841858;2020/04/17
Cannobio;103017;-1;5;0.9800000190734863;2020/04/17
Caprezzo;103018;-1;0;0;2020/04/17
Casale Corte Cerro;103019;-1;9;2.5999999046325684;2020/04/17
Ceppo Morelli;103021;-1;0;0;2020/04/17
Cesara;103022;-1;0;0;2020/04/17
Cossogno;103023;-1;9;13.25;2020/04/17
Craveggia;103024;-1;2;2.619999885559082;2020/04/17
Crevoladossola;103025;-1;4;0.8700000047683716;2020/04/17
Crodo;103026;-1;0;0;2020/04/17
Domodossola;103028;-1;44;2.4200000762939453;2020/04/17
Druogno;103029;-1;4;3.759999990463257;2020/04/17
Formazza;103031;-1;0;0;2020/04/17
Germagno;103032;-1;1;5.260000228881836;2020/04/17
Ghiffa;103033;-1;9;3.819999933242798;2020/04/17
Gignese;103034;-1;2;1.909999966621399;2020/04/17
Gravellona Toce;103035;-1;32;4.099999904632568;2020/04/17
Gurro;103036;-1;0;0;2020/04/17
Intragna;103037;-1;0;0;2020/04/17
Loreglia;103038;-1;0;0;2020/04/17
Macugnaga;103039;-1;1;1.850000023841858;2020/04/17
Madonna del Sasso;103040;-1;2;4.940000057220459;2020/04/17
Malesco;103041;-1;0;0;2020/04/17
Masera;103042;-1;1;0.6800000071525574;2020/04/17
Massiola;103043;-1;0;0;2020/04/17
Mergozzo;103044;-1;7;3.2300000190734863;2020/04/17
Miazzina;103045;-1;7;18.31999969482422;2020/04/17
Montecrestese;103046;-1;2;1.5700000524520874;2020/04/17
Montescheno;103047;-1;7;17.860000610351562;2020/04/17
Nonio;103048;-1;4;4.650000095367432;2020/04/17
Oggebbio;103049;-1;4;4.579999923706055;2020/04/17
Omegna;103050;-1;117;7.699999809265137;2020/04/17
Ornavasso;103051;-1;6;1.75;2020/04/17
Pallanzeno;103052;-1;2;1.7400000095367432;2020/04/17
Piedimulera;103053;-1;5;3.2899999618530273;2020/04/17
Pieve Vergonte;103054;-1;4;1.590000033378601;2020/04/17
Premeno;103055;-1;6;8.220000267028809;2020/04/17
Premia;103056;-1;1;1.809999942779541;2020/04/17
Premosello-Chiovenda;103057;-1;58;29.8799991607666;2020/04/17
Quarna Sopra;103058;-1;0;0;2020/04/17
Quarna Sotto;103059;-1;1;2.5999999046325684;2020/04/17
Re;103060;-1;1;1.3600000143051147;2020/04/17
San Bernardino Verbano;103061;-1;3;2.2799999713897705;2020/04/17
Santa Maria Maggiore;103062;-1;1;0.7699999809265137;2020/04/17
Stresa;103064;-1;10;2.049999952316284;2020/04/17
Toceno;103065;-1;2;2.740000009536743;2020/04/17
Trarego Viggiona;103066;-1;0;0;2020/04/17
Trasquera;103067;-1;0;0;2020/04/17
Trontano;103068;-1;0;0;2020/04/17
Valstrona;103069;-1;1;0.8199999928474426;2020/04/17
Vanzone con San Carlo;103070;-1;1;2.619999885559082;2020/04/17
Varzo;103071;-1;3;1.4900000095367432;2020/04/17
Verbania;103072;-1;243;7.96999979019165;2020/04/17
Vignone;103074;-1;7;5.860000133514404;2020/04/17
Villadossola;103075;-1;14;2.1500000953674316;2020/04/17
Villette;103076;-1;0;0;2020/04/17
Vogogna;103077;-1;40;22.780000686645508;2020/04/17
Borgomezzavalle;103078;-1;1;3.1700000762939453;2020/04/17
Valle Cannobina;103079;-1;1;2.059999942779541;2020/04/17
Agliè;001001;-1;6;2.2799999713897705;2020/04/17
Airasca;001002;-1;8;2.1700000762939453;2020/04/17
Ala di Stura;001003;-1;1;2.2100000381469727;2020/04/17
Albiano d'Ivrea;001004;-1;1;0.6100000143051147;2020/04/17
Almese;001006;-1;15;2.3499999046325684;2020/04/17
Alpette;001007;-1;0;0;2020/04/17
Alpignano;001008;-1;88;5.369999885559082;2020/04/17
Andezeno;001009;-1;1;0.5;2020/04/17
Andrate;001010;-1;1;2;2020/04/17
Angrogna;001011;-1;1;1.159999966621399;2020/04/17
Arignano;001012;-1;3;2.7899999618530273;2020/04/17
Avigliana;001013;-1;26;2.069999933242798;2020/04/17
Azeglio;001014;-1;2;1.590000033378601;2020/04/17
Bairo;001015;-1;5;6.25;2020/04/17
Balangero;001016;-1;9;2.8499999046325684;2020/04/17
