Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2020/04/05
Anzola d'Ossola;103002;-1;0;0;2020/04/05
Arizzano;103003;-1;6;2.9800000190734863;2020/04/05
Arola;103004;-1;0;0;2020/04/05
Aurano;103005;-1;1;9.710000038146973;2020/04/05
Baceno;103006;-1;0;0;2020/04/05
Bannio Anzino;103007;-1;0;0;2020/04/05
Baveno;103008;-1;7;1.4199999570846558;2020/04/05
Bee;103009;-1;1;1.3200000524520874;2020/04/05
Belgirate;103010;-1;16;31.809999465942383;2020/04/05
Beura-Cardezza;103011;-1;6;4.090000152587891;2020/04/05
Bognanco;103012;-1;0;0;2020/04/05
Brovello-Carpugnino;103013;-1;0;0;2020/04/05
Calasca-Castiglione;103014;-1;1;1.6399999856948853;2020/04/05
Cambiasca;103015;-1;6;3.700000047683716;2020/04/05
Cannero Riviera;103016;-1;0;0;2020/04/05
Cannobio;103017;-1;11;2.1500000953674316;2020/04/05
Caprezzo;103018;-1;0;0;2020/04/05
Casale Corte Cerro;103019;-1;8;2.309999942779541;2020/04/05
Ceppo Morelli;103021;-1;0;0;2020/04/05
Cesara;103022;-1;0;0;2020/04/05
Cossogno;103023;-1;7;10.3100004196167;2020/04/05
Craveggia;103024;-1;3;3.940000057220459;2020/04/05
Crevoladossola;103025;-1;4;0.8700000047683716;2020/04/05
Crodo;103026;-1;0;0;2020/04/05
Domodossola;103028;-1;28;1.5399999618530273;2020/04/05
Druogno;103029;-1;1;0.9399999976158142;2020/04/05
Formazza;103031;-1;0;0;2020/04/05
Germagno;103032;-1;0;0;2020/04/05
Ghiffa;103033;-1;26;11.050000190734863;2020/04/05
Gignese;103034;-1;2;1.909999966621399;2020/04/05
Gravellona Toce;103035;-1;27;3.4600000381469727;2020/04/05
Gurro;103036;-1;0;0;2020/04/05
Intragna;103037;-1;0;0;2020/04/05
Loreglia;103038;-1;0;0;2020/04/05
Macugnaga;103039;-1;1;1.850000023841858;2020/04/05
Madonna del Sasso;103040;-1;2;4.940000057220459;2020/04/05
Malesco;103041;-1;0;0;2020/04/05
Masera;103042;-1;1;0.6800000071525574;2020/04/05
Massiola;103043;-1;0;0;2020/04/05
Mergozzo;103044;-1;2;0.9200000166893005;2020/04/05
Miazzina;103045;-1;4;10.470000267028809;2020/04/05
Montecrestese;103046;-1;4;3.140000104904175;2020/04/05
Montescheno;103047;-1;1;2.549999952316284;2020/04/05
Nonio;103048;-1;4;4.650000095367432;2020/04/05
Oggebbio;103049;-1;2;2.2899999618530273;2020/04/05
Omegna;103050;-1;101;6.650000095367432;2020/04/05
Ornavasso;103051;-1;7;2.0399999618530273;2020/04/05
Pallanzeno;103052;-1;1;0.8700000047683716;2020/04/05
Piedimulera;103053;-1;2;1.309999942779541;2020/04/05
Pieve Vergonte;103054;-1;1;0.4000000059604645;2020/04/05
Premeno;103055;-1;8;10.960000038146973;2020/04/05
Premia;103056;-1;2;3.619999885559082;2020/04/05
Premosello-Chiovenda;103057;-1;46;23.700000762939453;2020/04/05
Quarna Sopra;103058;-1;0;0;2020/04/05
