Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;3;-1;2020/04/12
Anzola d'Ossola;103002;-1;1;-1;2020/04/12
Arizzano;103003;-1;10;-1;2020/04/12
Arola;103004;-1;1;-1;2020/04/12
Aurano;103005;-1;1;-1;2020/04/12
Baceno;103006;-1;0;-1;2020/04/12
Bannio Anzino;103007;-1;0;-1;2020/04/12
Baveno;103008;-1;7;-1;2020/04/12
Bee;103009;-1;2;-1;2020/04/12
Belgirate;103010;-1;18;-1;2020/04/12
Beura-Cardezza;103011;-1;4;-1;2020/04/12
Bognanco;103012;-1;1;-1;2020/04/12
Brovello-Carpugnino;103013;-1;0;-1;2020/04/12
Calasca-Castiglione;103014;-1;0;-1;2020/04/12
Cambiasca;103015;-1;11;-1;2020/04/12
Cannero Riviera;103016;-1;1;-1;2020/04/12
Cannobio;103017;-1;5;-1;2020/04/12
Caprezzo;103018;-1;0;-1;2020/04/12
Casale Corte Cerro;103019;-1;8;-1;2020/04/12
Ceppo Morelli;103021;-1;0;-1;2020/04/12
Cesara;103022;-1;0;-1;2020/04/12
Cossogno;103023;-1;8;-1;2020/04/12
Craveggia;103024;-1;4;-1;2020/04/12
Crevoladossola;103025;-1;5;-1;2020/04/12
Crodo;103026;-1;0;-1;2020/04/12
Domodossola;103028;-1;41;-1;2020/04/12
Druogno;103029;-1;4;-1;2020/04/12
Formazza;103031;-1;1;-1;2020/04/12
Germagno;103032;-1;1;-1;2020/04/12
Ghiffa;103033;-1;10;-1;2020/04/12
Gignese;103034;-1;1;-1;2020/04/12
Gravellona Toce;103035;-1;35;-1;2020/04/12
Gurro;103036;-1;0;-1;2020/04/12
Intragna;103037;-1;0;-1;2020/04/12
Loreglia;103038;-1;0;-1;2020/04/12
Macugnaga;103039;-1;1;-1;2020/04/12
Madonna del Sasso;103040;-1;2;-1;2020/04/12
Malesco;103041;-1;0;-1;2020/04/12
Masera;103042;-1;2;-1;2020/04/12
Massiola;103043;-1;0;-1;2020/04/12
Mergozzo;103044;-1;7;-1;2020/04/12
Miazzina;103045;-1;6;-1;2020/04/12
Montecrestese;103046;-1;2;-1;2020/04/12
Montescheno;103047;-1;7;-1;2020/04/12
Nonio;103048;-1;4;-1;2020/04/12
Oggebbio;103049;-1;3;-1;2020/04/12
Omegna;103050;-1;115;-1;2020/04/12
Ornavasso;103051;-1;8;-1;2020/04/12
Pallanzeno;103052;-1;2;-1;2020/04/12
Piedimulera;103053;-1;4;-1;2020/04/12
Pieve Vergonte;103054;-1;5;-1;2020/04/12
Premeno;103055;-1;5;-1;2020/04/12
Premia;103056;-1;1;-1;2020/04/12
Premosello-Chiovenda;103057;-1;54;-1;2020/04/12
Quarna Sopra;103058;-1;0;-1;2020/04/12
Quarna Sotto;103059;-1;1;-1;2020/04/12
Re;103060;-1;1;-1;2020/04/12
San Bernardino Verbano;103061;-1;3;-1;2020/04/12
Santa Maria Maggiore;103062;-1;1;-1;2020/04/12
Stresa;103064;-1;10;-1;2020/04/12
Toceno;103065;-1;2;-1;2020/04/12
Trarego Viggiona;103066;-1;0;-1;2020/04/12
Trasquera;103067;-1;0;-1;2020/04/12
Trontano;103068;-1;1;-1;2020/04/12
Valstrona;103069;-1;1;-1;2020/04/12
Vanzone con San Carlo;103070;-1;1;-1;2020/04/12
Varzo;103071;-1;3;-1;2020/04/12
Verbania;103072;-1;247;-1;2020/04/12
Vignone;103074;-1;6;-1;2020/04/12
Villadossola;103075;-1;11;-1;2020/04/12
Villette;103076;-1;0;-1;2020/04/12
Vogogna;103077;-1;39;-1;2020/04/12
Borgomezzavalle;103078;-1;1;-1;2020/04/12
Valle Cannobina;103079;-1;1;-1;2020/04/12
Agliè;001001;-1;4;-1;2020/04/12
Airasca;001002;-1;7;-1;2020/04/12
