Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2020/04/28
Anzola d'Ossola;103002;-1;1;2.4600000381469727;2020/04/28
Arizzano;103003;-1;8;3.9800000190734863;2020/04/28
Arola;103004;-1;0;0;2020/04/28
Aurano;103005;-1;1;9.710000038146973;2020/04/28
Baceno;103006;-1;0;0;2020/04/28
Bannio Anzino;103007;-1;0;0;2020/04/28
Baveno;103008;-1;9;1.8300000429153442;2020/04/28
Bee;103009;-1;1;1.3200000524520874;2020/04/28
Belgirate;103010;-1;18;35.790000915527344;2020/04/28
Beura-Cardezza;103011;-1;6;4.090000152587891;2020/04/28
Bognanco;103012;-1;1;5.320000171661377;2020/04/28
Brovello-Carpugnino;103013;-1;0;0;2020/04/28
Calasca-Castiglione;103014;-1;0;0;2020/04/28
Cambiasca;103015;-1;5;3.0799999237060547;2020/04/28
Cannero Riviera;103016;-1;0;0;2020/04/28
Cannobio;103017;-1;6;1.1699999570846558;2020/04/28
Caprezzo;103018;-1;0;0;2020/04/28
Casale Corte Cerro;103019;-1;9;2.5999999046325684;2020/04/28
Ceppo Morelli;103021;-1;0;0;2020/04/28
Cesara;103022;-1;0;0;2020/04/28
Cossogno;103023;-1;5;7.360000133514404;2020/04/28
Craveggia;103024;-1;3;3.940000057220459;2020/04/28
Crevoladossola;103025;-1;4;0.8700000047683716;2020/04/28
Crodo;103026;-1;0;0;2020/04/28
Domodossola;103028;-1;35;1.9299999475479126;2020/04/28
Druogno;103029;-1;3;2.819999933242798;2020/04/28
Formazza;103031;-1;0;0;2020/04/28
Germagno;103032;-1;0;0;2020/04/28
Ghiffa;103033;-1;23;9.770000457763672;2020/04/28
Gignese;103034;-1;2;1.909999966621399;2020/04/28
Gravellona Toce;103035;-1;32;4.099999904632568;2020/04/28
Gurro;103036;-1;0;0;2020/04/28
Intragna;103037;-1;0;0;2020/04/28
Loreglia;103038;-1;0;0;2020/04/28
Macugnaga;103039;-1;1;1.850000023841858;2020/04/28
Madonna del Sasso;103040;-1;1;2.4700000286102295;2020/04/28
Malesco;103041;-1;1;0.7300000190734863;2020/04/28
Masera;103042;-1;2;1.350000023841858;2020/04/28
Massiola;103043;-1;0;0;2020/04/28
Mergozzo;103044;-1;5;2.309999942779541;2020/04/28
Miazzina;103045;-1;4;10.470000267028809;2020/04/28
Montecrestese;103046;-1;2;1.5700000524520874;2020/04/28
Montescheno;103047;-1;1;2.549999952316284;2020/04/28
Nonio;103048;-1;4;4.650000095367432;2020/04/28
Oggebbio;103049;-1;3;3.440000057220459;2020/04/28
Omegna;103050;-1;104;6.849999904632568;2020/04/28
Ornavasso;103051;-1;6;1.75;2020/04/28
Pallanzeno;103052;-1;2;1.7400000095367432;2020/04/28
Piedimulera;103053;-1;3;1.9700000286102295;2020/04/28
Pieve Vergonte;103054;-1;3;1.190000057220459;2020/04/28
Premeno;103055;-1;6;8.220000267028809;2020/04/28
Premia;103056;-1;1;1.809999942779541;2020/04/28
Premosello-Chiovenda;103057;-1;56;28.850000381469727;2020/04/28
Quarna Sopra;103058;-1;0;0;2020/04/28
Quarna Sotto;103059;-1;2;5.190000057220459;2020/04/28
Re;103060;-1;1;1.3600000143051147;2020/04/28
San Bernardino Verbano;103061;-1;3;2.2799999713897705;2020/04/28
Santa Maria Maggiore;103062;-1;1;0.7699999809265137;2020/04/28
Stresa;103064;-1;8;1.6399999856948853;2020/04/28
Toceno;103065;-1;2;2.740000009536743;2020/04/28
Trarego Viggiona;103066;-1;0;0;2020/04/28
Trasquera;103067;-1;0;0;2020/04/28
Trontano;103068;-1;0;0;2020/04/28
Valstrona;103069;-1;1;0.8199999928474426;2020/04/28
Vanzone con San Carlo;103070;-1;2;5.239999771118164;2020/04/28
Varzo;103071;-1;2;0.9900000095367432;2020/04/28
Verbania;103072;-1;185;6.059999942779541;2020/04/28
Vignone;103074;-1;3;2.509999990463257;2020/04/28
Villadossola;103075;-1;15;2.299999952316284;2020/04/28
Villette;103076;-1;0;0;2020/04/28
Vogogna;103077;-1;37;21.06999969482422;2020/04/28
Borgomezzavalle;103078;-1;0;0;2020/04/28
Valle Cannobina;103079;-1;1;2.059999942779541;2020/04/28
Agliè;001001;-1;4;1.5199999809265137;2020/04/28
Airasca;001002;-1;7;1.899999976158142;2020/04/28
Ala di Stura;001003;-1;1;2.2100000381469727;2020/04/28
Albiano d'Ivrea;001004;-1;2;1.2200000286102295;2020/04/28
Almese;001006;-1;15;2.3499999046325684;2020/04/28
Alpette;001007;-1;0;0;2020/04/28
Alpignano;001008;-1;189;11.539999961853027;2020/04/28
Andezeno;001009;-1;2;0.9900000095367432;2020/04/28
Andrate;001010;-1;1;2;2020/04/28
Angrogna;001011;-1;1;1.159999966621399;2020/04/28
Arignano;001012;-1;2;1.8600000143051147;2020/04/28
Avigliana;001013;-1;27;2.1500000953674316;2020/04/28
Azeglio;001014;-1;2;1.590000033378601;2020/04/28
Bairo;001015;-1;17;21.25;2020/04/28
Balangero;001016;-1;9;2.8499999046325684;2020/04/28
Baldissero Canavese;001017;-1;0;0;2020/04/28
Baldissero Torinese;001018;-1;8;2.1700000762939453;2020/04/28
Balme;001019;-1;0;0;2020/04/28
Banchette;001020;-1;4;1.2300000190734863;2020/04/28
Barbania;001021;-1;4;2.490000009536743;2020/04/28
Bardonecchia;001022;-1;24;7.619999885559082;2020/04/28
Barone Canavese;001023;-1;1;1.7000000476837158;2020/04/28
Beinasco;001024;-1;117;6.519999980926514;2020/04/28
Bibiana;001025;-1;4;1.159999966621399;2020/04/28
Bobbio Pellice;001026;-1;0;0;2020/04/28
Bollengo;001027;-1;8;3.690000057220459;2020/04/28
Borgaro Torinese;001028;-1;80;6.71999979019165;2020/04/28
Borgiallo;001029;-1;0;0;2020/04/28
Borgofranco d'Ivrea;001030;-1;2;0.5400000214576721;2020/04/28
Borgomasino;001031;-1;4;5.079999923706055;2020/04/28
Borgone Susa;001032;-1;5;2.259999990463257;2020/04/28
Bosconero;001033;-1;82;26.170000076293945;2020/04/28
