Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2020/05/13
Anzola d'Ossola;103002;-1;0;0;2020/05/13
Arizzano;103003;-1;7;3.4800000190734863;2020/05/13
Arola;103004;-1;0;0;2020/05/13
Aurano;103005;-1;0;0;2020/05/13
Baceno;103006;-1;0;0;2020/05/13
Bannio Anzino;103007;-1;0;0;2020/05/13
Baveno;103008;-1;8;1.6299999952316284;2020/05/13
Bee;103009;-1;0;0;2020/05/13
Belgirate;103010;-1;6;11.930000305175781;2020/05/13
Beura-Cardezza;103011;-1;5;3.4100000858306885;2020/05/13
Bognanco;103012;-1;0;0;2020/05/13
Brovello-Carpugnino;103013;-1;0;0;2020/05/13
Calasca-Castiglione;103014;-1;2;3.2699999809265137;2020/05/13
Cambiasca;103015;-1;5;3.0799999237060547;2020/05/13
Cannero Riviera;103016;-1;0;0;2020/05/13
Cannobio;103017;-1;8;1.559999942779541;2020/05/13
Caprezzo;103018;-1;0;0;2020/05/13
Casale Corte Cerro;103019;-1;9;2.5999999046325684;2020/05/13
Ceppo Morelli;103021;-1;0;0;2020/05/13
Cesara;103022;-1;0;0;2020/05/13
Cossogno;103023;-1;5;7.360000133514404;2020/05/13
Craveggia;103024;-1;1;1.309999942779541;2020/05/13
Crevoladossola;103025;-1;2;0.4300000071525574;2020/05/13
Crodo;103026;-1;0;0;2020/05/13
Domodossola;103028;-1;24;1.3200000524520874;2020/05/13
Druogno;103029;-1;2;1.8799999952316284;2020/05/13
Formazza;103031;-1;0;0;2020/05/13
Germagno;103032;-1;0;0;2020/05/13
Ghiffa;103033;-1;21;8.920000076293945;2020/05/13
Gignese;103034;-1;2;1.909999966621399;2020/05/13
Gravellona Toce;103035;-1;22;2.819999933242798;2020/05/13
Gurro;103036;-1;0;0;2020/05/13
Intragna;103037;-1;0;0;2020/05/13
Loreglia;103038;-1;0;0;2020/05/13
Macugnaga;103039;-1;1;1.850000023841858;2020/05/13
Madonna del Sasso;103040;-1;1;2.4700000286102295;2020/05/13
Malesco;103041;-1;0;0;2020/05/13
Masera;103042;-1;1;0.6800000071525574;2020/05/13
Massiola;103043;-1;0;0;2020/05/13
Mergozzo;103044;-1;2;0.9200000166893005;2020/05/13
Miazzina;103045;-1;3;7.849999904632568;2020/05/13
Montecrestese;103046;-1;4;3.140000104904175;2020/05/13
Montescheno;103047;-1;1;2.549999952316284;2020/05/13
Nonio;103048;-1;0;0;2020/05/13
Oggebbio;103049;-1;2;2.2899999618530273;2020/05/13
Omegna;103050;-1;96;6.320000171661377;2020/05/13
Ornavasso;103051;-1;7;2.0399999618530273;2020/05/13
Pallanzeno;103052;-1;1;0.8700000047683716;2020/05/13
Piedimulera;103053;-1;2;1.309999942779541;2020/05/13
Pieve Vergonte;103054;-1;1;0.4000000059604645;2020/05/13
Premeno;103055;-1;8;10.960000038146973;2020/05/13
Premia;103056;-1;1;1.809999942779541;2020/05/13
Premosello-Chiovenda;103057;-1;34;17.520000457763672;2020/05/13
Quarna Sopra;103058;-1;0;0;2020/05/13
Quarna Sotto;103059;-1;2;5.190000057220459;2020/05/13
Re;103060;-1;3;4.079999923706055;2020/05/13
San Bernardino Verbano;103061;-1;0;0;2020/05/13
Santa Maria Maggiore;103062;-1;1;0.7699999809265137;2020/05/13
Stresa;103064;-1;9;1.850000023841858;2020/05/13
Toceno;103065;-1;0;0;2020/05/13
Trarego Viggiona;103066;-1;0;0;2020/05/13
Trasquera;103067;-1;0;0;2020/05/13
Trontano;103068;-1;0;0;2020/05/13
Valstrona;103069;-1;1;0.8199999928474426;2020/05/13
Vanzone con San Carlo;103070;-1;1;2.619999885559082;2020/05/13
Varzo;103071;-1;1;0.5;2020/05/13
Verbania;103072;-1;129;4.230000019073486;2020/05/13
Vignone;103074;-1;4;3.3499999046325684;2020/05/13
Villadossola;103075;-1;10;1.5299999713897705;2020/05/13
Villette;103076;-1;0;0;2020/05/13
Vogogna;103077;-1;26;14.8100004196167;2020/05/13
Borgomezzavalle;103078;-1;0;0;2020/05/13
Valle Cannobina;103079;-1;1;2.059999942779541;2020/05/13
Agliè;001001;-1;3;1.1399999856948853;2020/05/13
Airasca;001002;-1;6;1.6299999952316284;2020/05/13
Ala di Stura;001003;-1;1;2.2100000381469727;2020/05/13
Albiano d'Ivrea;001004;-1;1;0.6100000143051147;2020/05/13
