Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;3;7.159999847412109;2020/04/16
Anzola d'Ossola;103002;-1;1;2.4600000381469727;2020/04/16
Arizzano;103003;-1;7;3.4800000190734863;2020/04/16
Arola;103004;-1;1;4.119999885559082;2020/04/16
Aurano;103005;-1;1;9.710000038146973;2020/04/16
Baceno;103006;-1;0;0;2020/04/16
Bannio Anzino;103007;-1;0;0;2020/04/16
Baveno;103008;-1;9;1.8300000429153442;2020/04/16
Bee;103009;-1;2;2.6500000953674316;2020/04/16
Belgirate;103010;-1;18;35.790000915527344;2020/04/16
Beura-Cardezza;103011;-1;6;4.090000152587891;2020/04/16
Bognanco;103012;-1;1;5.320000171661377;2020/04/16
Brovello-Carpugnino;103013;-1;0;0;2020/04/16
Calasca-Castiglione;103014;-1;0;0;2020/04/16
Cambiasca;103015;-1;11;6.78000020980835;2020/04/16
Cannero Riviera;103016;-1;1;1.100000023841858;2020/04/16
Cannobio;103017;-1;5;0.9800000190734863;2020/04/16
Caprezzo;103018;-1;0;0;2020/04/16
Casale Corte Cerro;103019;-1;9;2.5999999046325684;2020/04/16
Ceppo Morelli;103021;-1;0;0;2020/04/16
Cesara;103022;-1;0;0;2020/04/16
Cossogno;103023;-1;9;13.25;2020/04/16
Craveggia;103024;-1;3;3.940000057220459;2020/04/16
Crevoladossola;103025;-1;5;1.090000033378601;2020/04/16
Crodo;103026;-1;0;0;2020/04/16
Domodossola;103028;-1;41;2.259999990463257;2020/04/16
Druogno;103029;-1;4;3.759999990463257;2020/04/16
Formazza;103031;-1;1;2.259999990463257;2020/04/16
Germagno;103032;-1;1;5.260000228881836;2020/04/16
Ghiffa;103033;-1;9;3.819999933242798;2020/04/16
Gignese;103034;-1;2;1.909999966621399;2020/04/16
Gravellona Toce;103035;-1;32;4.099999904632568;2020/04/16
Gurro;103036;-1;0;0;2020/04/16
Intragna;103037;-1;0;0;2020/04/16
Loreglia;103038;-1;0;0;2020/04/16
Macugnaga;103039;-1;1;1.850000023841858;2020/04/16
Madonna del Sasso;103040;-1;2;4.940000057220459;2020/04/16
Malesco;103041;-1;0;0;2020/04/16
Masera;103042;-1;1;0.6800000071525574;2020/04/16
Massiola;103043;-1;0;0;2020/04/16
Mergozzo;103044;-1;7;3.2300000190734863;2020/04/16
Miazzina;103045;-1;7;18.31999969482422;2020/04/16
Montecrestese;103046;-1;2;1.5700000524520874;2020/04/16
Montescheno;103047;-1;7;17.860000610351562;2020/04/16
Nonio;103048;-1;4;4.650000095367432;2020/04/16
Oggebbio;103049;-1;4;4.579999923706055;2020/04/16
Omegna;103050;-1;119;7.829999923706055;2020/04/16
Ornavasso;103051;-1;7;2.0399999618530273;2020/04/16
Pallanzeno;103052;-1;2;1.7400000095367432;2020/04/16
Piedimulera;103053;-1;4;2.630000114440918;2020/04/16
Pieve Vergonte;103054;-1;4;1.590000033378601;2020/04/16
Premeno;103055;-1;6;8.220000267028809;2020/04/16
Premia;103056;-1;2;3.619999885559082;2020/04/16
Premosello-Chiovenda;103057;-1;58;29.8799991607666;2020/04/16
Quarna Sopra;103058;-1;0;0;2020/04/16
Quarna Sotto;103059;-1;1;2.5999999046325684;2020/04/16
Re;103060;-1;1;1.3600000143051147;2020/04/16
San Bernardino Verbano;103061;-1;3;2.2799999713897705;2020/04/16
Santa Maria Maggiore;103062;-1;1;0.7699999809265137;2020/04/16
Stresa;103064;-1;9;1.850000023841858;2020/04/16
Toceno;103065;-1;2;2.740000009536743;2020/04/16
Trarego Viggiona;103066;-1;0;0;2020/04/16
Trasquera;103067;-1;0;0;2020/04/16
Trontano;103068;-1;0;0;2020/04/16
Valstrona;103069;-1;1;0.8199999928474426;2020/04/16
Vanzone con San Carlo;103070;-1;1;2.619999885559082;2020/04/16
Varzo;103071;-1;3;1.4900000095367432;2020/04/16
Verbania;103072;-1;243;7.96999979019165;2020/04/16
Vignone;103074;-1;7;5.860000133514404;2020/04/16
Villadossola;103075;-1;13;1.9900000095367432;2020/04/16
Villette;103076;-1;0;0;2020/04/16
Vogogna;103077;-1;39;22.209999084472656;2020/04/16
Borgomezzavalle;103078;-1;1;3.1700000762939453;2020/04/16
Valle Cannobina;103079;-1;1;2.059999942779541;2020/04/16
Agliè;001001;-1;6;2.2799999713897705;2020/04/16
Airasca;001002;-1;8;2.1700000762939453;2020/04/16
Ala di Stura;001003;-1;1;2.2100000381469727;2020/04/16
Albiano d'Ivrea;001004;-1;1;0.6100000143051147;2020/04/16
Almese;001006;-1;12;1.8799999952316284;2020/04/16
Alpette;001007;-1;0;0;2020/04/16
Alpignano;001008;-1;79;4.820000171661377;2020/04/16
