Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;3;-1;2020/04/13
Anzola d'Ossola;103002;-1;1;-1;2020/04/13
Arizzano;103003;-1;10;-1;2020/04/13
Arola;103004;-1;1;-1;2020/04/13
Aurano;103005;-1;1;-1;2020/04/13
Baceno;103006;-1;0;-1;2020/04/13
Bannio Anzino;103007;-1;0;-1;2020/04/13
Baveno;103008;-1;8;-1;2020/04/13
Bee;103009;-1;2;-1;2020/04/13
Belgirate;103010;-1;18;-1;2020/04/13
Beura-Cardezza;103011;-1;3;-1;2020/04/13
Bognanco;103012;-1;1;-1;2020/04/13
Brovello-Carpugnino;103013;-1;0;-1;2020/04/13
Calasca-Castiglione;103014;-1;0;-1;2020/04/13
Cambiasca;103015;-1;11;-1;2020/04/13
Cannero Riviera;103016;-1;1;-1;2020/04/13
Cannobio;103017;-1;5;-1;2020/04/13
Caprezzo;103018;-1;0;-1;2020/04/13
Casale Corte Cerro;103019;-1;8;-1;2020/04/13
Ceppo Morelli;103021;-1;0;-1;2020/04/13
Cesara;103022;-1;0;-1;2020/04/13
Cossogno;103023;-1;8;-1;2020/04/13
Craveggia;103024;-1;4;-1;2020/04/13
Crevoladossola;103025;-1;5;-1;2020/04/13
Crodo;103026;-1;0;-1;2020/04/13
Domodossola;103028;-1;45;-1;2020/04/13
Druogno;103029;-1;4;-1;2020/04/13
Formazza;103031;-1;1;-1;2020/04/13
Germagno;103032;-1;1;-1;2020/04/13
Ghiffa;103033;-1;10;-1;2020/04/13
Gignese;103034;-1;1;-1;2020/04/13
Gravellona Toce;103035;-1;35;-1;2020/04/13
Gurro;103036;-1;0;-1;2020/04/13
Intragna;103037;-1;0;-1;2020/04/13
Loreglia;103038;-1;0;-1;2020/04/13
Macugnaga;103039;-1;1;-1;2020/04/13
Madonna del Sasso;103040;-1;2;-1;2020/04/13
Malesco;103041;-1;0;-1;2020/04/13
Masera;103042;-1;2;-1;2020/04/13
Massiola;103043;-1;0;-1;2020/04/13
Mergozzo;103044;-1;7;-1;2020/04/13
Miazzina;103045;-1;7;-1;2020/04/13
Montecrestese;103046;-1;2;-1;2020/04/13
Montescheno;103047;-1;7;-1;2020/04/13
Nonio;103048;-1;4;-1;2020/04/13
Oggebbio;103049;-1;3;-1;2020/04/13
Omegna;103050;-1;115;-1;2020/04/13
Ornavasso;103051;-1;8;-1;2020/04/13
Pallanzeno;103052;-1;2;-1;2020/04/13
Piedimulera;103053;-1;4;-1;2020/04/13
Pieve Vergonte;103054;-1;5;-1;2020/04/13
Premeno;103055;-1;5;-1;2020/04/13
Premia;103056;-1;1;-1;2020/04/13
Premosello-Chiovenda;103057;-1;54;-1;2020/04/13
Quarna Sopra;103058;-1;0;-1;2020/04/13
Quarna Sotto;103059;-1;1;-1;2020/04/13
Re;103060;-1;1;-1;2020/04/13
San Bernardino Verbano;103061;-1;3;-1;2020/04/13
Santa Maria Maggiore;103062;-1;1;-1;2020/04/13
Stresa;103064;-1;10;-1;2020/04/13
Toceno;103065;-1;2;-1;2020/04/13
Trarego Viggiona;103066;-1;0;-1;2020/04/13
Trasquera;103067;-1;0;-1;2020/04/13
Trontano;103068;-1;1;-1;2020/04/13
Valstrona;103069;-1;1;-1;2020/04/13
Vanzone con San Carlo;103070;-1;1;-1;2020/04/13
Varzo;103071;-1;3;-1;2020/04/13
Verbania;103072;-1;253;-1;2020/04/13
Vignone;103074;-1;6;-1;2020/04/13
Villadossola;103075;-1;11;-1;2020/04/13
Villette;103076;-1;0;-1;2020/04/13
Vogogna;103077;-1;39;-1;2020/04/13
Borgomezzavalle;103078;-1;1;-1;2020/04/13
Valle Cannobina;103079;-1;1;-1;2020/04/13
Agliè;001001;-1;4;-1;2020/04/13
Airasca;001002;-1;7;-1;2020/04/13
Ala di Stura;001003;-1;1;-1;2020/04/13
Albiano d'Ivrea;001004;-1;1;-1;2020/04/13
Almese;001006;-1;12;-1;2020/04/13
Alpette;001007;-1;0;-1;2020/04/13
Alpignano;001008;-1;63;-1;2020/04/13
Andezeno;001009;-1;1;-1;2020/04/13
Andrate;001010;-1;1;-1;2020/04/13
Angrogna;001011;-1;1;-1;2020/04/13
Arignano;001012;-1;4;-1;2020/04/13
Avigliana;001013;-1;29;-1;2020/04/13
Azeglio;001014;-1;2;-1;2020/04/13
Bairo;001015;-1;4;-1;2020/04/13
Balangero;001016;-1;8;-1;2020/04/13
Baldissero Canavese;001017;-1;0;-1;2020/04/13
Baldissero Torinese;001018;-1;7;-1;2020/04/13
Balme;001019;-1;1;-1;2020/04/13
Banchette;001020;-1;5;-1;2020/04/13
Barbania;001021;-1;3;-1;2020/04/13
Bardonecchia;001022;-1;13;-1;2020/04/13
Barone Canavese;001023;-1;1;-1;2020/04/13
Beinasco;001024;-1;66;-1;2020/04/13
Bibiana;001025;-1;5;-1;2020/04/13
Bobbio Pellice;001026;-1;1;-1;2020/04/13
Bollengo;001027;-1;7;-1;2020/04/13
Borgaro Torinese;001028;-1;50;-1;2020/04/13
Borgiallo;001029;-1;0;-1;2020/04/13
Borgofranco d'Ivrea;001030;-1;4;-1;2020/04/13
Borgomasino;001031;-1;3;-1;2020/04/13
Borgone Susa;001032;-1;10;-1;2020/04/13
Bosconero;001033;-1;88;-1;2020/04/13
Brandizzo;001034;-1;111;-1;2020/04/13
Bricherasio;001035;-1;4;-1;2020/04/13
Brosso;001036;-1;0;-1;2020/04/13
Brozolo;001037;-1;3;-1;2020/04/13
Bruino;001038;-1;17;-1;2020/04/13
Brusasco;001039;-1;55;-1;2020/04/13
Bruzolo;001040;-1;3;-1;2020/04/13
Buriasco;001041;-1;3;-1;2020/04/13
Burolo;001042;-1;0;-1;2020/04/13
Busano;001043;-1;1;-1;2020/04/13
Bussoleno;001044;-1;5;-1;2020/04/13
Buttigliera Alta;001045;-1;14;-1;2020/04/13
Cafasse;001046;-1;11;-1;2020/04/13
Caluso;001047;-1;4;-1;2020/04/13
Cambiano;001048;-1;42;-1;2020/04/13
Campiglione Fenile;001049;-1;2;-1;2020/04/13
Candia Canavese;001050;-1;0;-1;2020/04/13
Candiolo;001051;-1;19;-1;2020/04/13
Canischio;001052;-1;0;-1;2020/04/13
Cantalupa;001053;-1;3;-1;2020/04/13
Cantoira;001054;-1;1;-1;2020/04/13
Caprie;001055;-1;8;-1;2020/04/13
Caravino;001056;-1;7;-1;2020/04/13
Carema;001057;-1;0;-1;2020/04/13
Carignano;001058;-1;28;-1;2020/04/13
Carmagnola;001059;-1;168;-1;2020/04/13
Casalborgone;001060;-1;3;-1;2020/04/13
Cascinette d'Ivrea;001061;-1;1;-1;2020/04/13
Caselette;001062;-1;3;-1;2020/04/13
Caselle Torinese;001063;-1;23;-1;2020/04/13
Castagneto Po;001064;-1;3;-1;2020/04/13
Castagnole Piemonte;001065;-1;2;-1;2020/04/13
Castellamonte;001066;-1;21;-1;2020/04/13
