Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;3;7.159999847412109;2020/04/19
Anzola d'Ossola;103002;-1;1;2.4600000381469727;2020/04/19
Arizzano;103003;-1;7;3.4800000190734863;2020/04/19
Arola;103004;-1;1;4.119999885559082;2020/04/19
Aurano;103005;-1;1;9.710000038146973;2020/04/19
Baceno;103006;-1;0;0;2020/04/19
Bannio Anzino;103007;-1;0;0;2020/04/19
Baveno;103008;-1;9;1.8300000429153442;2020/04/19
Bee;103009;-1;2;2.6500000953674316;2020/04/19
Belgirate;103010;-1;19;37.77000045776367;2020/04/19
Beura-Cardezza;103011;-1;6;4.090000152587891;2020/04/19
Bognanco;103012;-1;1;5.320000171661377;2020/04/19
Brovello-Carpugnino;103013;-1;0;0;2020/04/19
Calasca-Castiglione;103014;-1;0;0;2020/04/19
Cambiasca;103015;-1;11;6.78000020980835;2020/04/19
Cannero Riviera;103016;-1;1;1.100000023841858;2020/04/19
Cannobio;103017;-1;5;0.9800000190734863;2020/04/19
Caprezzo;103018;-1;0;0;2020/04/19
Casale Corte Cerro;103019;-1;8;2.309999942779541;2020/04/19
Ceppo Morelli;103021;-1;0;0;2020/04/19
Cesara;103022;-1;0;0;2020/04/19
Cossogno;103023;-1;9;13.25;2020/04/19
Craveggia;103024;-1;2;2.619999885559082;2020/04/19
Crevoladossola;103025;-1;4;0.8700000047683716;2020/04/19
Crodo;103026;-1;0;0;2020/04/19
Domodossola;103028;-1;44;2.4200000762939453;2020/04/19
Druogno;103029;-1;4;3.759999990463257;2020/04/19
Formazza;103031;-1;0;0;2020/04/19
Germagno;103032;-1;1;5.260000228881836;2020/04/19
Ghiffa;103033;-1;9;3.819999933242798;2020/04/19
Gignese;103034;-1;2;1.909999966621399;2020/04/19
Gravellona Toce;103035;-1;32;4.099999904632568;2020/04/19
Gurro;103036;-1;0;0;2020/04/19
Intragna;103037;-1;0;0;2020/04/19
Loreglia;103038;-1;0;0;2020/04/19
Macugnaga;103039;-1;2;3.690000057220459;2020/04/19
Madonna del Sasso;103040;-1;2;4.940000057220459;2020/04/19
Malesco;103041;-1;0;0;2020/04/19
Masera;103042;-1;1;0.6800000071525574;2020/04/19
Massiola;103043;-1;0;0;2020/04/19
Mergozzo;103044;-1;6;2.7699999809265137;2020/04/19
Miazzina;103045;-1;6;15.710000038146973;2020/04/19
Montecrestese;103046;-1;2;1.5700000524520874;2020/04/19
Montescheno;103047;-1;7;17.860000610351562;2020/04/19
Nonio;103048;-1;4;4.650000095367432;2020/04/19
Oggebbio;103049;-1;4;4.579999923706055;2020/04/19
Omegna;103050;-1;120;7.900000095367432;2020/04/19
Ornavasso;103051;-1;7;2.0399999618530273;2020/04/19
Pallanzeno;103052;-1;2;1.7400000095367432;2020/04/19
Piedimulera;103053;-1;5;3.2899999618530273;2020/04/19
Pieve Vergonte;103054;-1;4;1.590000033378601;2020/04/19
Premeno;103055;-1;6;8.220000267028809;2020/04/19
Premia;103056;-1;1;1.809999942779541;2020/04/19
Premosello-Chiovenda;103057;-1;57;29.3700008392334;2020/04/19
Quarna Sopra;103058;-1;0;0;2020/04/19
