Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;3;7.159999847412109;2020/04/21
Anzola d'Ossola;103002;-1;1;2.4600000381469727;2020/04/21
Arizzano;103003;-1;7;3.4800000190734863;2020/04/21
Arola;103004;-1;1;4.119999885559082;2020/04/21
Aurano;103005;-1;1;9.710000038146973;2020/04/21
Baceno;103006;-1;0;0;2020/04/21
Bannio Anzino;103007;-1;0;0;2020/04/21
Baveno;103008;-1;9;1.8300000429153442;2020/04/21
Bee;103009;-1;1;1.3200000524520874;2020/04/21
Belgirate;103010;-1;19;37.77000045776367;2020/04/21
Beura-Cardezza;103011;-1;6;4.090000152587891;2020/04/21
Bognanco;103012;-1;1;5.320000171661377;2020/04/21
Brovello-Carpugnino;103013;-1;0;0;2020/04/21
Calasca-Castiglione;103014;-1;0;0;2020/04/21
Cambiasca;103015;-1;11;6.78000020980835;2020/04/21
Cannero Riviera;103016;-1;1;1.100000023841858;2020/04/21
Cannobio;103017;-1;5;0.9800000190734863;2020/04/21
Caprezzo;103018;-1;0;0;2020/04/21
Casale Corte Cerro;103019;-1;7;2.0199999809265137;2020/04/21
Ceppo Morelli;103021;-1;0;0;2020/04/21
Cesara;103022;-1;0;0;2020/04/21
Cossogno;103023;-1;8;11.779999732971191;2020/04/21
Craveggia;103024;-1;3;3.940000057220459;2020/04/21
Crevoladossola;103025;-1;4;0.8700000047683716;2020/04/21
Crodo;103026;-1;0;0;2020/04/21
Domodossola;103028;-1;39;2.1500000953674316;2020/04/21
Druogno;103029;-1;4;3.759999990463257;2020/04/21
Formazza;103031;-1;0;0;2020/04/21
Germagno;103032;-1;1;5.260000228881836;2020/04/21
Ghiffa;103033;-1;8;3.4000000953674316;2020/04/21
Gignese;103034;-1;2;1.909999966621399;2020/04/21
Gravellona Toce;103035;-1;31;3.9700000286102295;2020/04/21
Gurro;103036;-1;0;0;2020/04/21
Intragna;103037;-1;0;0;2020/04/21
Loreglia;103038;-1;0;0;2020/04/21
Macugnaga;103039;-1;2;3.690000057220459;2020/04/21
Madonna del Sasso;103040;-1;2;4.940000057220459;2020/04/21
Malesco;103041;-1;0;0;2020/04/21
Masera;103042;-1;1;0.6800000071525574;2020/04/21
Massiola;103043;-1;0;0;2020/04/21
Mergozzo;103044;-1;6;2.7699999809265137;2020/04/21
Miazzina;103045;-1;6;15.710000038146973;2020/04/21
Montecrestese;103046;-1;2;1.5700000524520874;2020/04/21
Montescheno;103047;-1;6;15.3100004196167;2020/04/21
Nonio;103048;-1;4;4.650000095367432;2020/04/21
Oggebbio;103049;-1;4;4.579999923706055;2020/04/21
Omegna;103050;-1;115;7.570000171661377;2020/04/21
Ornavasso;103051;-1;6;1.75;2020/04/21
Pallanzeno;103052;-1;2;1.7400000095367432;2020/04/21
Piedimulera;103053;-1;5;3.2899999618530273;2020/04/21
Pieve Vergonte;103054;-1;4;1.590000033378601;2020/04/21
Premeno;103055;-1;5;6.849999904632568;2020/04/21
Premia;103056;-1;1;1.809999942779541;2020/04/21
Premosello-Chiovenda;103057;-1;57;29.3700008392334;2020/04/21
Quarna Sopra;103058;-1;0;0;2020/04/21
Quarna Sotto;103059;-1;1;2.5999999046325684;2020/04/21
Re;103060;-1;1;1.3600000143051147;2020/04/21
San Bernardino Verbano;103061;-1;3;2.2799999713897705;2020/04/21
Santa Maria Maggiore;103062;-1;1;0.7699999809265137;2020/04/21
Stresa;103064;-1;11;2.259999990463257;2020/04/21
Toceno;103065;-1;2;2.740000009536743;2020/04/21
Trarego Viggiona;103066;-1;0;0;2020/04/21
Trasquera;103067;-1;0;0;2020/04/21
Trontano;103068;-1;0;0;2020/04/21
Valstrona;103069;-1;1;0.8199999928474426;2020/04/21
Vanzone con San Carlo;103070;-1;2;5.239999771118164;2020/04/21
Varzo;103071;-1;3;1.4900000095367432;2020/04/21
Verbania;103072;-1;230;7.539999961853027;2020/04/21
Vignone;103074;-1;7;5.860000133514404;2020/04/21
Villadossola;103075;-1;16;2.450000047683716;2020/04/21
Villette;103076;-1;0;0;2020/04/21
Vogogna;103077;-1;40;22.780000686645508;2020/04/21
Borgomezzavalle;103078;-1;1;3.1700000762939453;2020/04/21
Valle Cannobina;103079;-1;1;2.059999942779541;2020/04/21
Agliè;001001;-1;5;1.899999976158142;2020/04/21
Airasca;001002;-1;6;1.6299999952316284;2020/04/21
Ala di Stura;001003;-1;1;2.2100000381469727;2020/04/21
Albiano d'Ivrea;001004;-1;1;0.6100000143051147;2020/04/21
Almese;001006;-1;15;2.3499999046325684;2020/04/21
Alpette;001007;-1;0;0;2020/04/21
Alpignano;001008;-1;166;10.130000114440918;2020/04/21
Andezeno;001009;-1;1;0.5;2020/04/21
Andrate;001010;-1;1;2;2020/04/21
Angrogna;001011;-1;1;1.159999966621399;2020/04/21
Arignano;001012;-1;4;3.7200000286102295;2020/04/21
Avigliana;001013;-1;26;2.069999933242798;2020/04/21
Azeglio;001014;-1;2;1.590000033378601;2020/04/21
Bairo;001015;-1;6;7.5;2020/04/21
Balangero;001016;-1;9;2.8499999046325684;2020/04/21
Baldissero Canavese;001017;-1;0;0;2020/04/21
Baldissero Torinese;001018;-1;9;2.450000047683716;2020/04/21
Balme;001019;-1;0;0;2020/04/21
Banchette;001020;-1;5;1.5399999618530273;2020/04/21
Barbania;001021;-1;3;1.8700000047683716;2020/04/21
Bardonecchia;001022;-1;20;6.349999904632568;2020/04/21
Barone Canavese;001023;-1;1;1.7000000476837158;2020/04/21
Beinasco;001024;-1;87;4.849999904632568;2020/04/21
Bibiana;001025;-1;3;0.8700000047683716;2020/04/21
Bobbio Pellice;001026;-1;0;0;2020/04/21
Bollengo;001027;-1;8;3.690000057220459;2020/04/21
Borgaro Torinese;001028;-1;81;6.800000190734863;2020/04/21
Borgiallo;001029;-1;0;0;2020/04/21
Borgofranco d'Ivrea;001030;-1;2;0.5400000214576721;2020/04/21
Borgomasino;001031;-1;4;5.079999923706055;2020/04/21
Borgone Susa;001032;-1;10;4.53000020980835;2020/04/21
Bosconero;001033;-1;88;28.09000015258789;2020/04/21
Brandizzo;001034;-1;100;11.4399995803833;2020/04/21
Bricherasio;001035;-1;9;1.9500000476837158;2020/04/21
Brosso;001036;-1;0;0;2020/04/21
Brozolo;001037;-1;3;6.880000114440918;2020/04/21
Bruino;001038;-1;23;2.640000104904175;2020/04/21
Brusasco;001039;-1;49;32.06999969482422;2020/04/21
Bruzolo;001040;-1;2;1.309999942779541;2020/04/21
Buriasco;001041;-1;3;2.2200000286102295;2020/04/21
Burolo;001042;-1;1;0.8700000047683716;2020/04/21
Busano;001043;-1;1;0.6100000143051147;2020/04/21
Bussoleno;001044;-1;4;0.6700000166893005;2020/04/21
Buttigliera Alta;001045;-1;14;2.190000057220459;2020/04/21
Cafasse;001046;-1;11;3.2200000286102295;2020/04/21
Caluso;001047;-1;3;0.4000000059604645;2020/04/21
Cambiano;001048;-1;42;7.019999980926514;2020/04/21
Campiglione Fenile;001049;-1;4;2.9800000190734863;2020/04/21
Candia Canavese;001050;-1;0;0;2020/04/21
Candiolo;001051;-1;18;3.190000057220459;2020/04/21
Canischio;001052;-1;0;0;2020/04/21
Cantalupa;001053;-1;4;1.5299999713897705;2020/04/21
Cantoira;001054;-1;0;0;2020/04/21
Caprie;001055;-1;7;3.359999895095825;2020/04/21
Caravino;001056;-1;6;6.650000095367432;2020/04/21
Carema;001057;-1;0;0;2020/04/21
Carignano;001058;-1;77;8.300000190734863;2020/04/21
Carmagnola;001059;-1;189;6.519999980926514;2020/04/21
