Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2020/04/30
Anzola d'Ossola;103002;-1;1;2.4600000381469727;2020/04/30
Arizzano;103003;-1;8;3.9800000190734863;2020/04/30
Arola;103004;-1;0;0;2020/04/30
Aurano;103005;-1;1;9.710000038146973;2020/04/30
Baceno;103006;-1;0;0;2020/04/30
Bannio Anzino;103007;-1;0;0;2020/04/30
Baveno;103008;-1;9;1.8300000429153442;2020/04/30
Bee;103009;-1;1;1.3200000524520874;2020/04/30
Belgirate;103010;-1;17;33.79999923706055;2020/04/30
Beura-Cardezza;103011;-1;6;4.090000152587891;2020/04/30
Bognanco;103012;-1;1;5.320000171661377;2020/04/30
Brovello-Carpugnino;103013;-1;0;0;2020/04/30
Calasca-Castiglione;103014;-1;0;0;2020/04/30
Cambiasca;103015;-1;5;3.0799999237060547;2020/04/30
Cannero Riviera;103016;-1;0;0;2020/04/30
Cannobio;103017;-1;7;1.3700000047683716;2020/04/30
Caprezzo;103018;-1;0;0;2020/04/30
Casale Corte Cerro;103019;-1;9;2.5999999046325684;2020/04/30
Ceppo Morelli;103021;-1;0;0;2020/04/30
Cesara;103022;-1;0;0;2020/04/30
Cossogno;103023;-1;5;7.360000133514404;2020/04/30
Craveggia;103024;-1;3;3.940000057220459;2020/04/30
Crevoladossola;103025;-1;4;0.8700000047683716;2020/04/30
Crodo;103026;-1;0;0;2020/04/30
Domodossola;103028;-1;34;1.8700000047683716;2020/04/30
Druogno;103029;-1;2;1.8799999952316284;2020/04/30
Formazza;103031;-1;0;0;2020/04/30
Germagno;103032;-1;0;0;2020/04/30
Ghiffa;103033;-1;24;10.199999809265137;2020/04/30
Gignese;103034;-1;2;1.909999966621399;2020/04/30
Gravellona Toce;103035;-1;32;4.099999904632568;2020/04/30
Gurro;103036;-1;0;0;2020/04/30
Intragna;103037;-1;0;0;2020/04/30
Loreglia;103038;-1;0;0;2020/04/30
Macugnaga;103039;-1;1;1.850000023841858;2020/04/30
Madonna del Sasso;103040;-1;1;2.4700000286102295;2020/04/30
Malesco;103041;-1;1;0.7300000190734863;2020/04/30
Masera;103042;-1;2;1.350000023841858;2020/04/30
Massiola;103043;-1;0;0;2020/04/30
Mergozzo;103044;-1;4;1.850000023841858;2020/04/30
Miazzina;103045;-1;4;10.470000267028809;2020/04/30
Montecrestese;103046;-1;2;1.5700000524520874;2020/04/30
Montescheno;103047;-1;1;2.549999952316284;2020/04/30
Nonio;103048;-1;4;4.650000095367432;2020/04/30
Oggebbio;103049;-1;3;3.440000057220459;2020/04/30
Omegna;103050;-1;104;6.849999904632568;2020/04/30
Ornavasso;103051;-1;6;1.75;2020/04/30
Pallanzeno;103052;-1;1;0.8700000047683716;2020/04/30
Piedimulera;103053;-1;2;1.309999942779541;2020/04/30
Pieve Vergonte;103054;-1;3;1.190000057220459;2020/04/30
Premeno;103055;-1;7;9.59000015258789;2020/04/30
Premia;103056;-1;1;1.809999942779541;2020/04/30
Premosello-Chiovenda;103057;-1;50;25.760000228881836;2020/04/30
Quarna Sopra;103058;-1;0;0;2020/04/30
Quarna Sotto;103059;-1;2;5.190000057220459;2020/04/30
Re;103060;-1;1;1.3600000143051147;2020/04/30
San Bernardino Verbano;103061;-1;2;1.5199999809265137;2020/04/30
Santa Maria Maggiore;103062;-1;1;0.7699999809265137;2020/04/30
Stresa;103064;-1;8;1.6399999856948853;2020/04/30
Toceno;103065;-1;2;2.740000009536743;2020/04/30
Trarego Viggiona;103066;-1;0;0;2020/04/30
Trasquera;103067;-1;0;0;2020/04/30
Trontano;103068;-1;0;0;2020/04/30
Valstrona;103069;-1;1;0.8199999928474426;2020/04/30
Vanzone con San Carlo;103070;-1;1;2.619999885559082;2020/04/30
Varzo;103071;-1;2;0.9900000095367432;2020/04/30
Verbania;103072;-1;187;6.130000114440918;2020/04/30
Vignone;103074;-1;4;3.3499999046325684;2020/04/30
Villadossola;103075;-1;13;1.9900000095367432;2020/04/30
Villette;103076;-1;0;0;2020/04/30
Vogogna;103077;-1;37;21.06999969482422;2020/04/30
Borgomezzavalle;103078;-1;0;0;2020/04/30
Valle Cannobina;103079;-1;1;2.059999942779541;2020/04/30
Agliè;001001;-1;4;1.5199999809265137;2020/04/30
Airasca;001002;-1;8;2.1700000762939453;2020/04/30
Ala di Stura;001003;-1;1;2.2100000381469727;2020/04/30
Albiano d'Ivrea;001004;-1;1;0.6100000143051147;2020/04/30
Almese;001006;-1;15;2.3499999046325684;2020/04/30
