Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;3;-1;2020/04/14
Anzola d'Ossola;103002;-1;1;-1;2020/04/14
Arizzano;103003;-1;8;-1;2020/04/14
Arola;103004;-1;1;-1;2020/04/14
Aurano;103005;-1;1;-1;2020/04/14
Baceno;103006;-1;0;-1;2020/04/14
Bannio Anzino;103007;-1;0;-1;2020/04/14
Baveno;103008;-1;8;-1;2020/04/14
Bee;103009;-1;2;-1;2020/04/14
Belgirate;103010;-1;18;-1;2020/04/14
Beura-Cardezza;103011;-1;5;-1;2020/04/14
Bognanco;103012;-1;1;-1;2020/04/14
Brovello-Carpugnino;103013;-1;0;-1;2020/04/14
Calasca-Castiglione;103014;-1;0;-1;2020/04/14
Cambiasca;103015;-1;11;-1;2020/04/14
Cannero Riviera;103016;-1;1;-1;2020/04/14
Cannobio;103017;-1;5;-1;2020/04/14
Caprezzo;103018;-1;0;-1;2020/04/14
Casale Corte Cerro;103019;-1;9;-1;2020/04/14
Ceppo Morelli;103021;-1;0;-1;2020/04/14
Cesara;103022;-1;0;-1;2020/04/14
Cossogno;103023;-1;8;-1;2020/04/14
Craveggia;103024;-1;4;-1;2020/04/14
Crevoladossola;103025;-1;5;-1;2020/04/14
Crodo;103026;-1;0;-1;2020/04/14
Domodossola;103028;-1;44;-1;2020/04/14
Druogno;103029;-1;4;-1;2020/04/14
Formazza;103031;-1;1;-1;2020/04/14
Germagno;103032;-1;1;-1;2020/04/14
Ghiffa;103033;-1;9;-1;2020/04/14
Gignese;103034;-1;1;-1;2020/04/14
Gravellona Toce;103035;-1;35;-1;2020/04/14
Gurro;103036;-1;0;-1;2020/04/14
Intragna;103037;-1;0;-1;2020/04/14
Loreglia;103038;-1;0;-1;2020/04/14
Macugnaga;103039;-1;1;-1;2020/04/14
Madonna del Sasso;103040;-1;2;-1;2020/04/14
Malesco;103041;-1;0;-1;2020/04/14
Masera;103042;-1;2;-1;2020/04/14
Massiola;103043;-1;0;-1;2020/04/14
Mergozzo;103044;-1;6;-1;2020/04/14
Miazzina;103045;-1;7;-1;2020/04/14
Montecrestese;103046;-1;2;-1;2020/04/14
Montescheno;103047;-1;7;-1;2020/04/14
Nonio;103048;-1;4;-1;2020/04/14
Oggebbio;103049;-1;3;-1;2020/04/14
Omegna;103050;-1;117;-1;2020/04/14
Ornavasso;103051;-1;8;-1;2020/04/14
Pallanzeno;103052;-1;2;-1;2020/04/14
Piedimulera;103053;-1;4;-1;2020/04/14
Pieve Vergonte;103054;-1;5;-1;2020/04/14
Premeno;103055;-1;5;-1;2020/04/14
Premia;103056;-1;2;-1;2020/04/14
Premosello-Chiovenda;103057;-1;58;-1;2020/04/14
Quarna Sopra;103058;-1;0;-1;2020/04/14
Quarna Sotto;103059;-1;1;-1;2020/04/14
Re;103060;-1;1;-1;2020/04/14
San Bernardino Verbano;103061;-1;3;-1;2020/04/14
Santa Maria Maggiore;103062;-1;1;-1;2020/04/14
Stresa;103064;-1;9;-1;2020/04/14
Toceno;103065;-1;2;-1;2020/04/14
Trarego Viggiona;103066;-1;0;-1;2020/04/14
Trasquera;103067;-1;0;-1;2020/04/14
Trontano;103068;-1;1;-1;2020/04/14
Valstrona;103069;-1;1;-1;2020/04/14
Vanzone con San Carlo;103070;-1;1;-1;2020/04/14
Varzo;103071;-1;3;-1;2020/04/14
Verbania;103072;-1;249;-1;2020/04/14
Vignone;103074;-1;6;-1;2020/04/14
Villadossola;103075;-1;12;-1;2020/04/14
Villette;103076;-1;0;-1;2020/04/14
Vogogna;103077;-1;39;-1;2020/04/14
Borgomezzavalle;103078;-1;1;-1;2020/04/14
Valle Cannobina;103079;-1;1;-1;2020/04/14
Agliè;001001;-1;4;-1;2020/04/14
Airasca;001002;-1;7;-1;2020/04/14
Ala di Stura;001003;-1;1;-1;2020/04/14
Albiano d'Ivrea;001004;-1;1;-1;2020/04/14
Almese;001006;-1;12;-1;2020/04/14
Alpette;001007;-1;0;-1;2020/04/14
Alpignano;001008;-1;63;-1;2020/04/14
Andezeno;001009;-1;1;-1;2020/04/14
Andrate;001010;-1;1;-1;2020/04/14
Angrogna;001011;-1;1;-1;2020/04/14
Arignano;001012;-1;4;-1;2020/04/14
Avigliana;001013;-1;29;-1;2020/04/14
Azeglio;001014;-1;2;-1;2020/04/14
Bairo;001015;-1;4;-1;2020/04/14
Balangero;001016;-1;8;-1;2020/04/14
Baldissero Canavese;001017;-1;0;-1;2020/04/14
Baldissero Torinese;001018;-1;10;-1;2020/04/14
Balme;001019;-1;1;-1;2020/04/14
Banchette;001020;-1;5;-1;2020/04/14
Barbania;001021;-1;3;-1;2020/04/14
Bardonecchia;001022;-1;13;-1;2020/04/14
Barone Canavese;001023;-1;1;-1;2020/04/14
