Ente;Tipo;Provincia;ASL;Codice ISTAT;Abitanti;Positivi;Positivi 1000 abitanti;Delta positivi;Delta positivi 1000 abitanti;Data
AL;ASL;ASL;AL;A213;432818;963;2.22;0;0.0;2020/03/25
AL;ASL;ASL;AL;A213;432818;998;2.31;35;0.09;2020/03/26
AL;ASL;ASL;AL;A213;432818;1126;2.6;128;0.29;2020/03/27
AL;ASL;ASL;AL;A213;432818;1221;2.82;95;0.22;2020/03/28
AL;ASL;ASL;AL;A213;432818;1279;2.96;58;0.14;2020/03/29
AL;ASL;ASL;AL;A213;432818;1306;3.02;27;0.06;2020/03/30
AL;ASL;ASL;AL;A213;432818;1346;3.11;40;0.09;2020/03/31
AL;ASL;ASL;AL;A213;432818;1407;3.25;61;0.14;2020/04/01
AL;ASL;ASL;AL;A213;432818;1460;3.37;53;0.12;2020/04/02
AL;ASL;ASL;AL;A213;432818;1510;3.49;50;0.12;2020/04/03
AL;ASL;ASL;AL;A213;432818;1610;3.72;100;0.23;2020/04/04
AL;ASL;ASL;AL;A213;432818;4213;9.73;2603;6.01;2020/04/05
AL;ASL;ASL;AL;A213;432818;1897;4.38;-2316;-5.35;2020/04/06
AL;ASL;ASL;AL;A213;432818;1936;4.47;39;0.09;2020/04/07
AL;ASL;ASL;AL;A213;432818;2000;4.62;64;0.15;2020/04/08
AL;ASL;ASL;AL;A213;432818;2066;4.77;66;0.15;2020/04/09
AL;ASL;ASL;AL;A213;432818;1873;4.33;-193;-0.44;2020/04/12
AL;ASL;ASL;AL;A213;432818;1913;4.42;40;0.09;2020/04/13
AL;ASL;ASL;AL;A213;432818;1996;4.61;83;0.19;2020/04/14
AL;ASL;ASL;AL;A213;432818;2017;4.66;21;0.05;2020/04/15
AL;ASL;ASL;AL;A213;432818;2097;4.84;80;0.18;2020/04/16
AL;ASL;ASL;AL;A213;432818;2159;4.99;62;0.15;2020/04/17
AL;ASL;ASL;AL;A213;432818;2221;5.13;62;0.14;2020/04/18
AL;ASL;ASL;AL;A213;432818;2208;5.1;-13;-0.03;2020/04/19
AL;ASL;ASL;AL;A213;432818;2167;5.01;-41;-0.09;2020/04/20
AL;ASL;ASL;AL;A213;432818;2222;5.13;55;0.12;2020/04/21
AL;ASL;ASL;AL;A213;432818;2284;5.28;62;0.15;2020/04/22
AL;ASL;ASL;AL;A213;432818;2222;5.13;-62;-0.15;2020/04/23
AL;ASL;ASL;AL;A213;432818;2251;5.2;29;0.07;2020/04/24
AL;ASL;ASL;AL;A213;432818;2300;5.31;49;0.11;2020/04/25
AL;ASL;ASL;AL;A213;432818;2196;5.07;-104;-0.24;2020/04/26
AL;ASL;ASL;AL;A213;432818;2243;5.18;47;0.11;2020/04/27
AL;ASL;ASL;AL;A213;432818;2299;5.31;56;0.13;2020/04/28
AL;ASL;ASL;AL;A213;432818;2411;5.57;112;0.26;2020/05/05
AL;ASL;ASL;AL;A213;432818;2370;5.48;-41;-0.09;2020/05/06
AL;ASL;ASL;AL;A213;432818;2379;5.5;9;0.02;2020/05/07
AL;ASL;ASL;AL;A213;432818;2394;5.53;15;0.03;2020/05/08
AL;ASL;ASL;AL;A213;432818;2321;5.36;-73;-0.17;2020/05/09
AL;ASL;ASL;AL;A213;432818;2299;5.31;-22;-0.05;2020/05/10
AL;ASL;ASL;AL;A213;432818;2270;5.24;-29;-0.07;2020/05/11
AL;ASL;ASL;AL;A213;432818;2263;5.23;-7;-0.01;2020/05/12
AL;ASL;ASL;AL;A213;432818;2193;5.07;-70;-0.16;2020/05/13
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;1137;1.3;0;0.0;2020/03/25
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;1246;1.42;109;0.12;2020/03/26
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;1332;1.52;86;0.1;2020/03/27
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;1457;1.66;125;0.14;2020/03/28
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;1529;1.75;72;0.09;2020/03/29
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;1608;1.84;79;0.09;2020/03/30
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;1721;1.97;113;0.13;2020/03/31
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;1839;2.1;118;0.13;2020/04/01
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;1954;2.23;115;0.13;2020/04/02
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2085;2.38;131;0.15;2020/04/03
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2276;2.6;191;0.22;2020/04/04
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;5810;6.63;3534;4.03;2020/04/05
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2425;2.77;-3385;-3.86;2020/04/06
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2485;2.84;60;0.07;2020/04/07
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2579;2.95;94;0.11;2020/04/08
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2700;3.08;121;0.13;2020/04/09
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2484;2.84;-216;-0.24;2020/04/12
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2517;2.87;33;0.03;2020/04/13
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2550;2.91;33;0.04;2020/04/14
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2528;2.89;-22;-0.02;2020/04/15
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2715;3.1;187;0.21;2020/04/16
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2719;3.1;4;0.0;2020/04/17
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2829;3.23;110;0.13;2020/04/18
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2838;3.24;9;0.01;2020/04/19
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2855;3.26;17;0.02;2020/04/20
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2908;3.32;53;0.06;2020/04/21
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2978;3.4;70;0.08;2020/04/22
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3003;3.43;25;0.03;2020/04/23
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3046;3.48;43;0.05;2020/04/24
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3083;3.52;37;0.04;2020/04/25
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3149;3.6;66;0.08;2020/04/26
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3157;3.61;8;0.01;2020/04/27
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3261;3.72;104;0.11;2020/04/28
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3411;3.9;150;0.18;2020/05/05
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3383;3.86;-28;-0.04;2020/05/06
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3323;3.79;-60;-0.07;2020/05/07
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3258;3.72;-65;-0.07;2020/05/08
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3224;3.68;-34;-0.04;2020/05/09
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3137;3.58;-87;-0.1;2020/05/10
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3022;3.45;-115;-0.13;2020/05/11
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;3018;3.45;-4;0.0;2020/05/12
ASL CITTA' DI TORINO;ASL;ASL;ASL CITTA' DI TORINO;A301;875698;2957;3.38;-61;-0.07;2020/05/13
AT;ASL;ASL;AT;A212;202819;251;1.24;0;0.0;2020/03/25
AT;ASL;ASL;AT;A212;202819;272;1.34;21;0.1;2020/03/26
AT;ASL;ASL;AT;A212;202819;292;1.44;20;0.1;2020/03/27
AT;ASL;ASL;AT;A212;202819;304;1.5;12;0.06;2020/03/28
AT;ASL;ASL;AT;A212;202819;313;1.54;9;0.04;2020/03/29
AT;ASL;ASL;AT;A212;202819;385;1.9;72;0.36;2020/03/30
AT;ASL;ASL;AT;A212;202819;413;2.04;28;0.14;2020/03/31
AT;ASL;ASL;AT;A212;202819;439;2.16;26;0.12;2020/04/01
AT;ASL;ASL;AT;A212;202819;474;2.34;35;0.18;2020/04/02
AT;ASL;ASL;AT;A212;202819;482;2.38;8;0.04;2020/04/03
AT;ASL;ASL;AT;A212;202819;517;2.55;35;0.17;2020/04/04
AT;ASL;ASL;AT;A212;202819;1625;8.01;1108;5.46;2020/04/05
AT;ASL;ASL;AT;A212;202819;564;2.78;-1061;-5.23;2020/04/06
AT;ASL;ASL;AT;A212;202819;585;2.88;21;0.1;2020/04/07
AT;ASL;ASL;AT;A212;202819;599;2.95;14;0.07;2020/04/08
AT;ASL;ASL;AT;A212;202819;608;3.0;9;0.05;2020/04/09
AT;ASL;ASL;AT;A212;202819;601;2.96;-7;-0.04;2020/04/12
AT;ASL;ASL;AT;A212;202819;616;3.04;15;0.08;2020/04/13
AT;ASL;ASL;AT;A212;202819;685;3.38;69;0.34;2020/04/14
AT;ASL;ASL;AT;A212;202819;704;3.47;19;0.09;2020/04/15
AT;ASL;ASL;AT;A212;202819;739;3.64;35;0.17;2020/04/16
AT;ASL;ASL;AT;A212;202819;745;3.67;6;0.03;2020/04/17
AT;ASL;ASL;AT;A212;202819;777;3.83;32;0.16;2020/04/18
AT;ASL;ASL;AT;A212;202819;803;3.96;26;0.13;2020/04/19
AT;ASL;ASL;AT;A212;202819;861;4.25;58;0.29;2020/04/20
AT;ASL;ASL;AT;A212;202819;929;4.58;68;0.33;2020/04/21
AT;ASL;ASL;AT;A212;202819;962;4.74;33;0.16;2020/04/22
AT;ASL;ASL;AT;A212;202819;950;4.68;-12;-0.06;2020/04/23
AT;ASL;ASL;AT;A212;202819;991;4.89;41;0.21;2020/04/24
AT;ASL;ASL;AT;A212;202819;1000;4.93;9;0.04;2020/04/25
AT;ASL;ASL;AT;A212;202819;1040;5.13;40;0.2;2020/04/26
AT;ASL;ASL;AT;A212;202819;1055;5.2;15;0.07;2020/04/27
AT;ASL;ASL;AT;A212;202819;1088;5.36;33;0.16;2020/04/28
AT;ASL;ASL;AT;A212;202819;1069;5.27;-19;-0.09;2020/05/05
AT;ASL;ASL;AT;A212;202819;1051;5.18;-18;-0.09;2020/05/06
AT;ASL;ASL;AT;A212;202819;1049;5.17;-2;-0.01;2020/05/07
AT;ASL;ASL;AT;A212;202819;1065;5.25;16;0.08;2020/05/08
AT;ASL;ASL;AT;A212;202819;1069;5.27;4;0.02;2020/05/09
AT;ASL;ASL;AT;A212;202819;1061;5.23;-8;-0.04;2020/05/10
AT;ASL;ASL;AT;A212;202819;1040;5.13;-21;-0.1;2020/05/11
AT;ASL;ASL;AT;A212;202819;1039;5.12;-1;-0.01;2020/05/12
AT;ASL;ASL;AT;A212;202819;1032;5.09;-7;-0.03;2020/05/13
BI;ASL;ASL;BI;A207;167582;315;1.88;0;0.0;2020/03/25
BI;ASL;ASL;BI;A207;167582;324;1.93;9;0.05;2020/03/26
BI;ASL;ASL;BI;A207;167582;354;2.11;30;0.18;2020/03/27
BI;ASL;ASL;BI;A207;167582;385;2.3;31;0.19;2020/03/28
BI;ASL;ASL;BI;A207;167582;419;2.5;34;0.2;2020/03/29
BI;ASL;ASL;BI;A207;167582;441;2.63;22;0.13;2020/03/30
BI;ASL;ASL;BI;A207;167582;459;2.74;18;0.11;2020/03/31
BI;ASL;ASL;BI;A207;167582;472;2.82;13;0.08;2020/04/01
BI;ASL;ASL;BI;A207;167582;492;2.94;20;0.12;2020/04/02
BI;ASL;ASL;BI;A207;167582;498;2.97;6;0.03;2020/04/03
BI;ASL;ASL;BI;A207;167582;516;3.08;18;0.11;2020/04/04
BI;ASL;ASL;BI;A207;167582;1041;6.21;525;3.13;2020/04/05
BI;ASL;ASL;BI;A207;167582;538;3.21;-503;-3.0;2020/04/06
BI;ASL;ASL;BI;A207;167582;546;3.26;8;0.05;2020/04/07
BI;ASL;ASL;BI;A207;167582;555;3.31;9;0.05;2020/04/08
BI;ASL;ASL;BI;A207;167582;575;3.43;20;0.12;2020/04/09
BI;ASL;ASL;BI;A207;167582;527;3.14;-48;-0.29;2020/04/12
BI;ASL;ASL;BI;A207;167582;524;3.13;-3;-0.01;2020/04/13
BI;ASL;ASL;BI;A207;167582;539;3.22;15;0.09;2020/04/14
BI;ASL;ASL;BI;A207;167582;536;3.2;-3;-0.02;2020/04/15
BI;ASL;ASL;BI;A207;167582;527;3.14;-9;-0.06;2020/04/16
BI;ASL;ASL;BI;A207;167582;536;3.2;9;0.06;2020/04/17
BI;ASL;ASL;BI;A207;167582;549;3.28;13;0.08;2020/04/18
BI;ASL;ASL;BI;A207;167582;577;3.44;28;0.16;2020/04/19
BI;ASL;ASL;BI;A207;167582;576;3.44;-1;0.0;2020/04/20
BI;ASL;ASL;BI;A207;167582;565;3.37;-11;-0.07;2020/04/21
BI;ASL;ASL;BI;A207;167582;570;3.4;5;0.03;2020/04/22
BI;ASL;ASL;BI;A207;167582;610;3.64;40;0.24;2020/04/23
BI;ASL;ASL;BI;A207;167582;640;3.82;30;0.18;2020/04/24
BI;ASL;ASL;BI;A207;167582;628;3.75;-12;-0.07;2020/04/25
BI;ASL;ASL;BI;A207;167582;629;3.75;1;0.0;2020/04/26
BI;ASL;ASL;BI;A207;167582;606;3.62;-23;-0.13;2020/04/27
BI;ASL;ASL;BI;A207;167582;606;3.62;0;0.0;2020/04/28
BI;ASL;ASL;BI;A207;167582;516;3.08;-90;-0.54;2020/05/05
BI;ASL;ASL;BI;A207;167582;485;2.89;-31;-0.19;2020/05/06
BI;ASL;ASL;BI;A207;167582;473;2.82;-12;-0.07;2020/05/07
BI;ASL;ASL;BI;A207;167582;463;2.76;-10;-0.06;2020/05/08
BI;ASL;ASL;BI;A207;167582;466;2.78;3;0.02;2020/05/09
BI;ASL;ASL;BI;A207;167582;466;2.78;0;0.0;2020/05/10
BI;ASL;ASL;BI;A207;167582;455;2.72;-11;-0.06;2020/05/11
BI;ASL;ASL;BI;A207;167582;444;2.65;-11;-0.07;2020/05/12
BI;ASL;ASL;BI;A207;167582;431;2.57;-13;-0.08;2020/05/13
CN1;ASL;ASL;CN1;A210;416011;312;0.75;0;0.0;2020/03/25
CN1;ASL;ASL;CN1;A210;416011;348;0.84;36;0.09;2020/03/26
CN1;ASL;ASL;CN1;A210;416011;373;0.9;25;0.06;2020/03/27
CN1;ASL;ASL;CN1;A210;416011;405;0.97;32;0.07;2020/03/28
CN1;ASL;ASL;CN1;A210;416011;430;1.03;25;0.06;2020/03/29
CN1;ASL;ASL;CN1;A210;416011;481;1.16;51;0.13;2020/03/30
CN1;ASL;ASL;CN1;A210;416011;526;1.26;45;0.1;2020/03/31
CN1;ASL;ASL;CN1;A210;416011;563;1.35;37;0.09;2020/04/01
CN1;ASL;ASL;CN1;A210;416011;582;1.4;19;0.05;2020/04/02
CN1;ASL;ASL;CN1;A210;416011;596;1.43;14;0.03;2020/04/03
CN1;ASL;ASL;CN1;A210;416011;645;1.55;49;0.12;2020/04/04
CN1;ASL;ASL;CN1;A210;416011;2037;4.9;1392;3.35;2020/04/05
CN1;ASL;ASL;CN1;A210;416011;752;1.81;-1285;-3.09;2020/04/06
CN1;ASL;ASL;CN1;A210;416011;783;1.88;31;0.07;2020/04/07
CN1;ASL;ASL;CN1;A210;416011;815;1.96;32;0.08;2020/04/08
CN1;ASL;ASL;CN1;A210;416011;881;2.12;66;0.16;2020/04/09
CN1;ASL;ASL;CN1;A210;416011;884;2.12;3;0.0;2020/04/12
CN1;ASL;ASL;CN1;A210;416011;990;2.38;106;0.26;2020/04/13
CN1;ASL;ASL;CN1;A210;416011;1039;2.5;49;0.12;2020/04/14
CN1;ASL;ASL;CN1;A210;416011;1088;2.62;49;0.12;2020/04/15
CN1;ASL;ASL;CN1;A210;416011;1098;2.64;10;0.02;2020/04/16
CN1;ASL;ASL;CN1;A210;416011;1145;2.75;47;0.11;2020/04/17
CN1;ASL;ASL;CN1;A210;416011;1176;2.83;31;0.08;2020/04/18
CN1;ASL;ASL;CN1;A210;416011;1247;3.0;71;0.17;2020/04/19
CN1;ASL;ASL;CN1;A210;416011;1265;3.04;18;0.04;2020/04/20
CN1;ASL;ASL;CN1;A210;416011;1292;3.11;27;0.07;2020/04/21
CN1;ASL;ASL;CN1;A210;416011;1336;3.21;44;0.1;2020/04/22
CN1;ASL;ASL;CN1;A210;416011;1288;3.1;-48;-0.11;2020/04/23
CN1;ASL;ASL;CN1;A210;416011;1323;3.18;35;0.08;2020/04/24
CN1;ASL;ASL;CN1;A210;416011;1389;3.34;66;0.16;2020/04/25
CN1;ASL;ASL;CN1;A210;416011;1384;3.33;-5;-0.01;2020/04/26
CN1;ASL;ASL;CN1;A210;416011;1397;3.36;13;0.03;2020/04/27
CN1;ASL;ASL;CN1;A210;416011;1394;3.35;-3;-0.01;2020/04/28
CN1;ASL;ASL;CN1;A210;416011;1319;3.17;-75;-0.18;2020/05/05
CN1;ASL;ASL;CN1;A210;416011;1274;3.06;-45;-0.11;2020/05/06
CN1;ASL;ASL;CN1;A210;416011;1256;3.02;-18;-0.04;2020/05/07
CN1;ASL;ASL;CN1;A210;416011;1245;2.99;-11;-0.03;2020/05/08
CN1;ASL;ASL;CN1;A210;416011;1213;2.92;-32;-0.07;2020/05/09
CN1;ASL;ASL;CN1;A210;416011;1184;2.85;-29;-0.07;2020/05/10
CN1;ASL;ASL;CN1;A210;416011;1182;2.84;-2;-0.01;2020/05/11
CN1;ASL;ASL;CN1;A210;416011;1175;2.82;-7;-0.02;2020/05/12
CN1;ASL;ASL;CN1;A210;416011;1167;2.81;-8;-0.01;2020/05/13
CN2;ASL;ASL;CN2;A211;171198;129;0.75;0;0.0;2020/03/25
CN2;ASL;ASL;CN2;A211;171198;139;0.81;10;0.06;2020/03/26
CN2;ASL;ASL;CN2;A211;171198;145;0.85;6;0.04;2020/03/27
CN2;ASL;ASL;CN2;A211;171198;153;0.89;8;0.04;2020/03/28
CN2;ASL;ASL;CN2;A211;171198;161;0.94;8;0.05;2020/03/29
CN2;ASL;ASL;CN2;A211;171198;169;0.99;8;0.05;2020/03/30
CN2;ASL;ASL;CN2;A211;171198;205;1.2;36;0.21;2020/03/31
CN2;ASL;ASL;CN2;A211;171198;215;1.26;10;0.06;2020/04/01
CN2;ASL;ASL;CN2;A211;171198;244;1.43;29;0.17;2020/04/02
CN2;ASL;ASL;CN2;A211;171198;243;1.42;-1;-0.01;2020/04/03
CN2;ASL;ASL;CN2;A211;171198;275;1.61;32;0.19;2020/04/04
CN2;ASL;ASL;CN2;A211;171198;722;4.22;447;2.61;2020/04/05
CN2;ASL;ASL;CN2;A211;171198;361;2.11;-361;-2.11;2020/04/06
CN2;ASL;ASL;CN2;A211;171198;381;2.23;20;0.12;2020/04/07
CN2;ASL;ASL;CN2;A211;171198;389;2.27;8;0.04;2020/04/08
CN2;ASL;ASL;CN2;A211;171198;395;2.31;6;0.04;2020/04/09
CN2;ASL;ASL;CN2;A211;171198;376;2.2;-19;-0.11;2020/04/12
CN2;ASL;ASL;CN2;A211;171198;389;2.27;13;0.07;2020/04/13
CN2;ASL;ASL;CN2;A211;171198;451;2.63;62;0.36;2020/04/14
CN2;ASL;ASL;CN2;A211;171198;477;2.79;26;0.16;2020/04/15
CN2;ASL;ASL;CN2;A211;171198;476;2.78;-1;-0.01;2020/04/16
CN2;ASL;ASL;CN2;A211;171198;475;2.77;-1;-0.01;2020/04/17
CN2;ASL;ASL;CN2;A211;171198;455;2.66;-20;-0.11;2020/04/18
CN2;ASL;ASL;CN2;A211;171198;462;2.7;7;0.04;2020/04/19
CN2;ASL;ASL;CN2;A211;171198;462;2.7;0;0.0;2020/04/20
CN2;ASL;ASL;CN2;A211;171198;456;2.66;-6;-0.04;2020/04/21
CN2;ASL;ASL;CN2;A211;171198;444;2.59;-12;-0.07;2020/04/22
CN2;ASL;ASL;CN2;A211;171198;446;2.61;2;0.02;2020/04/23
CN2;ASL;ASL;CN2;A211;171198;429;2.51;-17;-0.1;2020/04/24
CN2;ASL;ASL;CN2;A211;171198;414;2.42;-15;-0.09;2020/04/25
CN2;ASL;ASL;CN2;A211;171198;403;2.35;-11;-0.07;2020/04/26
CN2;ASL;ASL;CN2;A211;171198;398;2.32;-5;-0.03;2020/04/27
CN2;ASL;ASL;CN2;A211;171198;395;2.31;-3;-0.01;2020/04/28
CN2;ASL;ASL;CN2;A211;171198;364;2.13;-31;-0.18;2020/05/05
CN2;ASL;ASL;CN2;A211;171198;333;1.95;-31;-0.18;2020/05/06
CN2;ASL;ASL;CN2;A211;171198;341;1.99;8;0.04;2020/05/07
CN2;ASL;ASL;CN2;A211;171198;316;1.85;-25;-0.14;2020/05/08
CN2;ASL;ASL;CN2;A211;171198;303;1.77;-13;-0.08;2020/05/09
CN2;ASL;ASL;CN2;A211;171198;313;1.83;10;0.06;2020/05/10
CN2;ASL;ASL;CN2;A211;171198;309;1.8;-4;-0.03;2020/05/11
CN2;ASL;ASL;CN2;A211;171198;311;1.82;2;0.02;2020/05/12
CN2;ASL;ASL;CN2;A211;171198;309;1.8;-2;-0.02;2020/05/13
NO;ASL;ASL;NO;A208;347571;499;1.44;0;0.0;2020/03/25
NO;ASL;ASL;NO;A208;347571;557;1.6;58;0.16;2020/03/26
NO;ASL;ASL;NO;A208;347571;587;1.69;30;0.09;2020/03/27
NO;ASL;ASL;NO;A208;347571;629;1.81;42;0.12;2020/03/28
NO;ASL;ASL;NO;A208;347571;659;1.9;30;0.09;2020/03/29
NO;ASL;ASL;NO;A208;347571;696;2.0;37;0.1;2020/03/30
NO;ASL;ASL;NO;A208;347571;757;2.18;61;0.18;2020/03/31
NO;ASL;ASL;NO;A208;347571;804;2.31;47;0.13;2020/04/01
NO;ASL;ASL;NO;A208;347571;843;2.43;39;0.12;2020/04/02
NO;ASL;ASL;NO;A208;347571;849;2.44;6;0.01;2020/04/03
NO;ASL;ASL;NO;A208;347571;885;2.55;36;0.11;2020/04/04
NO;ASL;ASL;NO;A208;347571;2881;8.29;1996;5.74;2020/04/05
NO;ASL;ASL;NO;A208;347571;924;2.66;-1957;-5.63;2020/04/06
NO;ASL;ASL;NO;A208;347571;985;2.83;61;0.17;2020/04/07
NO;ASL;ASL;NO;A208;347571;1055;3.04;70;0.21;2020/04/08
NO;ASL;ASL;NO;A208;347571;1123;3.23;68;0.19;2020/04/09
NO;ASL;ASL;NO;A208;347571;1500;4.32;377;1.09;2020/04/12
NO;ASL;ASL;NO;A208;347571;1562;4.49;62;0.17;2020/04/13
NO;ASL;ASL;NO;A208;347571;1550;4.46;-12;-0.03;2020/04/14
NO;ASL;ASL;NO;A208;347571;1562;4.49;12;0.03;2020/04/15
NO;ASL;ASL;NO;A208;347571;1658;4.77;96;0.28;2020/04/16
NO;ASL;ASL;NO;A208;347571;1705;4.91;47;0.14;2020/04/17
NO;ASL;ASL;NO;A208;347571;1774;5.1;69;0.19;2020/04/18
NO;ASL;ASL;NO;A208;347571;1811;5.21;37;0.11;2020/04/19
NO;ASL;ASL;NO;A208;347571;1847;5.31;36;0.1;2020/04/20
NO;ASL;ASL;NO;A208;347571;1856;5.34;9;0.03;2020/04/21
NO;ASL;ASL;NO;A208;347571;1966;5.66;110;0.32;2020/04/22
NO;ASL;ASL;NO;A208;347571;1984;5.71;18;0.05;2020/04/23
NO;ASL;ASL;NO;A208;347571;2001;5.76;17;0.05;2020/04/24
NO;ASL;ASL;NO;A208;347571;1972;5.67;-29;-0.09;2020/04/25
NO;ASL;ASL;NO;A208;347571;1995;5.74;23;0.07;2020/04/26
NO;ASL;ASL;NO;A208;347571;1992;5.73;-3;-0.01;2020/04/27
NO;ASL;ASL;NO;A208;347571;2017;5.8;25;0.07;2020/04/28
NO;ASL;ASL;NO;A208;347571;1993;5.73;-24;-0.07;2020/05/05
NO;ASL;ASL;NO;A208;347571;1941;5.58;-52;-0.15;2020/05/06
NO;ASL;ASL;NO;A208;347571;1937;5.57;-4;-0.01;2020/05/07
NO;ASL;ASL;NO;A208;347571;1863;5.36;-74;-0.21;2020/05/08
NO;ASL;ASL;NO;A208;347571;1833;5.27;-30;-0.09;2020/05/09
NO;ASL;ASL;NO;A208;347571;1852;5.33;19;0.06;2020/05/10
NO;ASL;ASL;NO;A208;347571;1852;5.33;0;0.0;2020/05/11
NO;ASL;ASL;NO;A208;347571;1829;5.26;-23;-0.07;2020/05/12
NO;ASL;ASL;NO;A208;347571;1723;4.96;-106;-0.3;2020/05/13
TO3;ASL;ASL;TO3;A203;581452;718;1.23;0;0.0;2020/03/25
TO3;ASL;ASL;TO3;A203;581452;781;1.34;63;0.11;2020/03/26
TO3;ASL;ASL;TO3;A203;581452;848;1.46;67;0.12;2020/03/27
TO3;ASL;ASL;TO3;A203;581452;911;1.57;63;0.11;2020/03/28
TO3;ASL;ASL;TO3;A203;581452;992;1.71;81;0.14;2020/03/29
TO3;ASL;ASL;TO3;A203;581452;1046;1.8;54;0.09;2020/03/30
TO3;ASL;ASL;TO3;A203;581452;1100;1.89;54;0.09;2020/03/31
TO3;ASL;ASL;TO3;A203;581452;1149;1.98;49;0.09;2020/04/01
TO3;ASL;ASL;TO3;A203;581452;1198;2.06;49;0.08;2020/04/02
TO3;ASL;ASL;TO3;A203;581452;1240;2.13;42;0.07;2020/04/03
TO3;ASL;ASL;TO3;A203;581452;1310;2.25;70;0.12;2020/04/04
TO3;ASL;ASL;TO3;A203;581452;3736;6.43;2426;4.18;2020/04/05
TO3;ASL;ASL;TO3;A203;581452;1428;2.46;-2308;-3.97;2020/04/06
TO3;ASL;ASL;TO3;A203;581452;1478;2.54;50;0.08;2020/04/07
TO3;ASL;ASL;TO3;A203;581452;1515;2.61;37;0.07;2020/04/08
TO3;ASL;ASL;TO3;A203;581452;1601;2.75;86;0.14;2020/04/09
TO3;ASL;ASL;TO3;A203;581452;1453;2.5;-148;-0.25;2020/04/12
TO3;ASL;ASL;TO3;A203;581452;1536;2.64;83;0.14;2020/04/13
TO3;ASL;ASL;TO3;A203;581452;1563;2.69;27;0.05;2020/04/14
TO3;ASL;ASL;TO3;A203;581452;1590;2.73;27;0.04;2020/04/15
TO3;ASL;ASL;TO3;A203;581452;1674;2.88;84;0.15;2020/04/16
TO3;ASL;ASL;TO3;A203;581452;1729;2.97;55;0.09;2020/04/17
