Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;3;7.159999847412109;2020/04/18
Anzola d'Ossola;103002;-1;1;2.4600000381469727;2020/04/18
Arizzano;103003;-1;7;3.4800000190734863;2020/04/18
Arola;103004;-1;1;4.119999885559082;2020/04/18
Aurano;103005;-1;1;9.710000038146973;2020/04/18
Baceno;103006;-1;0;0;2020/04/18
Bannio Anzino;103007;-1;0;0;2020/04/18
Baveno;103008;-1;9;1.8300000429153442;2020/04/18
Bee;103009;-1;2;2.6500000953674316;2020/04/18
Belgirate;103010;-1;19;37.77000045776367;2020/04/18
Beura-Cardezza;103011;-1;6;4.090000152587891;2020/04/18
Bognanco;103012;-1;1;5.320000171661377;2020/04/18
Brovello-Carpugnino;103013;-1;0;0;2020/04/18
Calasca-Castiglione;103014;-1;0;0;2020/04/18
Cambiasca;103015;-1;11;6.78000020980835;2020/04/18
Cannero Riviera;103016;-1;1;1.100000023841858;2020/04/18
Cannobio;103017;-1;5;0.9800000190734863;2020/04/18
Caprezzo;103018;-1;0;0;2020/04/18
Casale Corte Cerro;103019;-1;8;2.309999942779541;2020/04/18
Ceppo Morelli;103021;-1;0;0;2020/04/18
Cesara;103022;-1;0;0;2020/04/18
Cossogno;103023;-1;9;13.25;2020/04/18
Craveggia;103024;-1;2;2.619999885559082;2020/04/18
Crevoladossola;103025;-1;4;0.8700000047683716;2020/04/18
Crodo;103026;-1;0;0;2020/04/18
Domodossola;103028;-1;44;2.4200000762939453;2020/04/18
Druogno;103029;-1;4;3.759999990463257;2020/04/18
Formazza;103031;-1;0;0;2020/04/18
Germagno;103032;-1;1;5.260000228881836;2020/04/18
Ghiffa;103033;-1;9;3.819999933242798;2020/04/18
Gignese;103034;-1;2;1.909999966621399;2020/04/18
Gravellona Toce;103035;-1;32;4.099999904632568;2020/04/18
Gurro;103036;-1;0;0;2020/04/18
Intragna;103037;-1;0;0;2020/04/18
Loreglia;103038;-1;0;0;2020/04/18
Macugnaga;103039;-1;1;1.850000023841858;2020/04/18
Madonna del Sasso;103040;-1;2;4.940000057220459;2020/04/18
Malesco;103041;-1;0;0;2020/04/18
