Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;3;7.159999847412109;2020/04/20
Anzola d'Ossola;103002;-1;1;2.4600000381469727;2020/04/20
Arizzano;103003;-1;7;3.4800000190734863;2020/04/20
Arola;103004;-1;1;4.119999885559082;2020/04/20
Aurano;103005;-1;1;9.710000038146973;2020/04/20
Baceno;103006;-1;0;0;2020/04/20
Bannio Anzino;103007;-1;0;0;2020/04/20
Baveno;103008;-1;10;2.0299999713897705;2020/04/20
Bee;103009;-1;1;1.3200000524520874;2020/04/20
Belgirate;103010;-1;19;37.77000045776367;2020/04/20
Beura-Cardezza;103011;-1;6;4.090000152587891;2020/04/20
Bognanco;103012;-1;1;5.320000171661377;2020/04/20
Brovello-Carpugnino;103013;-1;0;0;2020/04/20
Calasca-Castiglione;103014;-1;0;0;2020/04/20
Cambiasca;103015;-1;11;6.78000020980835;2020/04/20
Cannero Riviera;103016;-1;1;1.100000023841858;2020/04/20
Cannobio;103017;-1;5;0.9800000190734863;2020/04/20
Caprezzo;103018;-1;0;0;2020/04/20
Casale Corte Cerro;103019;-1;7;2.0199999809265137;2020/04/20
Ceppo Morelli;103021;-1;0;0;2020/04/20
Cesara;103022;-1;0;0;2020/04/20
Cossogno;103023;-1;8;11.779999732971191;2020/04/20
Craveggia;103024;-1;3;3.940000057220459;2020/04/20
Crevoladossola;103025;-1;3;0.6499999761581421;2020/04/20
Crodo;103026;-1;0;0;2020/04/20
Domodossola;103028;-1;40;2.200000047683716;2020/04/20
Druogno;103029;-1;4;3.759999990463257;2020/04/20
Formazza;103031;-1;0;0;2020/04/20
Germagno;103032;-1;1;5.260000228881836;2020/04/20
Ghiffa;103033;-1;8;3.4000000953674316;2020/04/20
Gignese;103034;-1;2;1.909999966621399;2020/04/20
Gravellona Toce;103035;-1;32;4.099999904632568;2020/04/20
Gurro;103036;-1;0;0;2020/04/20
Intragna;103037;-1;0;0;2020/04/20
Loreglia;103038;-1;0;0;2020/04/20
Macugnaga;103039;-1;2;3.690000057220459;2020/04/20
Madonna del Sasso;103040;-1;2;4.940000057220459;2020/04/20
Malesco;103041;-1;0;0;2020/04/20
Masera;103042;-1;1;0.6800000071525574;2020/04/20
Massiola;103043;-1;0;0;2020/04/20
Mergozzo;103044;-1;6;2.7699999809265137;2020/04/20
Miazzina;103045;-1;6;15.710000038146973;2020/04/20
Montecrestese;103046;-1;3;2.359999895095825;2020/04/20
Montescheno;103047;-1;6;15.3100004196167;2020/04/20
Nonio;103048;-1;4;4.650000095367432;2020/04/20
Oggebbio;103049;-1;4;4.579999923706055;2020/04/20
Omegna;103050;-1;116;7.639999866485596;2020/04/20
Ornavasso;103051;-1;6;1.75;2020/04/20
Pallanzeno;103052;-1;2;1.7400000095367432;2020/04/20
Piedimulera;103053;-1;5;3.2899999618530273;2020/04/20
Pieve Vergonte;103054;-1;4;1.590000033378601;2020/04/20
Premeno;103055;-1;5;6.849999904632568;2020/04/20
Premia;103056;-1;1;1.809999942779541;2020/04/20
Premosello-Chiovenda;103057;-1;57;29.3700008392334;2020/04/20
Quarna Sopra;103058;-1;0;0;2020/04/20
Quarna Sotto;103059;-1;1;2.5999999046325684;2020/04/20
Re;103060;-1;1;1.3600000143051147;2020/04/20
San Bernardino Verbano;103061;-1;3;2.2799999713897705;2020/04/20
Santa Maria Maggiore;103062;-1;1;0.7699999809265137;2020/04/20
Stresa;103064;-1;11;2.259999990463257;2020/04/20
Toceno;103065;-1;2;2.740000009536743;2020/04/20
Trarego Viggiona;103066;-1;0;0;2020/04/20
Trasquera;103067;-1;0;0;2020/04/20
Trontano;103068;-1;0;0;2020/04/20
Valstrona;103069;-1;1;0.8199999928474426;2020/04/20
Vanzone con San Carlo;103070;-1;2;5.239999771118164;2020/04/20
Varzo;103071;-1;3;1.4900000095367432;2020/04/20
Verbania;103072;-1;233;7.639999866485596;2020/04/20
Vignone;103074;-1;7;5.860000133514404;2020/04/20
Villadossola;103075;-1;16;2.450000047683716;2020/04/20
Villette;103076;-1;0;0;2020/04/20
Vogogna;103077;-1;40;22.780000686645508;2020/04/20
Borgomezzavalle;103078;-1;1;3.1700000762939453;2020/04/20
Valle Cannobina;103079;-1;1;2.059999942779541;2020/04/20
Agliè;001001;-1;5;1.899999976158142;2020/04/20
Airasca;001002;-1;7;1.899999976158142;2020/04/20
Ala di Stura;001003;-1;1;2.2100000381469727;2020/04/20
Albiano d'Ivrea;001004;-1;1;0.6100000143051147;2020/04/20
Almese;001006;-1;14;2.200000047683716;2020/04/20
Alpette;001007;-1;0;0;2020/04/20
Alpignano;001008;-1;144;8.789999961853027;2020/04/20
Andezeno;001009;-1;1;0.5;2020/04/20
Andrate;001010;-1;1;2;2020/04/20
Angrogna;001011;-1;1;1.159999966621399;2020/04/20
Arignano;001012;-1;4;3.7200000286102295;2020/04/20
Avigliana;001013;-1;26;2.069999933242798;2020/04/20
Azeglio;001014;-1;2;1.590000033378601;2020/04/20
Bairo;001015;-1;6;7.5;2020/04/20
