Comune;Codice ISTAT;Abitanti;Positivi;Rapporto;Data
Antrona Schieranco;103001;-1;0;0;2020/05/09
Anzola d'Ossola;103002;-1;0;0;2020/05/09
Arizzano;103003;-1;7;3.4800000190734863;2020/05/09
Arola;103004;-1;0;0;2020/05/09
Aurano;103005;-1;1;9.710000038146973;2020/05/09
Baceno;103006;-1;0;0;2020/05/09
Bannio Anzino;103007;-1;0;0;2020/05/09
Baveno;103008;-1;7;1.4199999570846558;2020/05/09
Bee;103009;-1;1;1.3200000524520874;2020/05/09
Belgirate;103010;-1;16;31.809999465942383;2020/05/09
Beura-Cardezza;103011;-1;6;4.090000152587891;2020/05/09
Bognanco;103012;-1;0;0;2020/05/09
Brovello-Carpugnino;103013;-1;0;0;2020/05/09
Calasca-Castiglione;103014;-1;2;3.2699999809265137;2020/05/09
Cambiasca;103015;-1;5;3.0799999237060547;2020/05/09
Cannero Riviera;103016;-1;0;0;2020/05/09
Cannobio;103017;-1;9;1.7599999904632568;2020/05/09
Caprezzo;103018;-1;0;0;2020/05/09
Casale Corte Cerro;103019;-1;8;2.309999942779541;2020/05/09
Ceppo Morelli;103021;-1;0;0;2020/05/09
Cesara;103022;-1;0;0;2020/05/09
Cossogno;103023;-1;6;8.84000015258789;2020/05/09
Craveggia;103024;-1;3;3.940000057220459;2020/05/09
Crevoladossola;103025;-1;2;0.4300000071525574;2020/05/09
Crodo;103026;-1;0;0;2020/05/09
Domodossola;103028;-1;23;1.2699999809265137;2020/05/09
Druogno;103029;-1;1;0.9399999976158142;2020/05/09
Formazza;103031;-1;0;0;2020/05/09
Germagno;103032;-1;0;0;2020/05/09
Ghiffa;103033;-1;25;10.619999885559082;2020/05/09
Gignese;103034;-1;1;0.949999988079071;2020/05/09
Gravellona Toce;103035;-1;31;3.9700000286102295;2020/05/09
Gurro;103036;-1;0;0;2020/05/09
Intragna;103037;-1;0;0;2020/05/09
Loreglia;103038;-1;0;0;2020/05/09
Macugnaga;103039;-1;1;1.850000023841858;2020/05/09
Madonna del Sasso;103040;-1;2;4.940000057220459;2020/05/09
Malesco;103041;-1;0;0;2020/05/09
Masera;103042;-1;1;0.6800000071525574;2020/05/09
Massiola;103043;-1;0;0;2020/05/09
Mergozzo;103044;-1;2;0.9200000166893005;2020/05/09
Miazzina;103045;-1;4;10.470000267028809;2020/05/09
Montecrestese;103046;-1;4;3.140000104904175;2020/05/09
Montescheno;103047;-1;1;2.549999952316284;2020/05/09
Nonio;103048;-1;2;2.319999933242798;2020/05/09
Oggebbio;103049;-1;2;2.2899999618530273;2020/05/09
Omegna;103050;-1;101;6.650000095367432;2020/05/09
Ornavasso;103051;-1;8;2.3299999237060547;2020/05/09
Pallanzeno;103052;-1;1;0.8700000047683716;2020/05/09
Piedimulera;103053;-1;2;1.309999942779541;2020/05/09
Pieve Vergonte;103054;-1;1;0.4000000059604645;2020/05/09
Premeno;103055;-1;8;10.960000038146973;2020/05/09
Premia;103056;-1;2;3.619999885559082;2020/05/09
Premosello-Chiovenda;103057;-1;47;24.209999084472656;2020/05/09
Quarna Sopra;103058;-1;0;0;2020/05/09
Quarna Sotto;103059;-1;2;5.190000057220459;2020/05/09
Re;103060;-1;0;0;2020/05/09
San Bernardino Verbano;103061;-1;0;0;2020/05/09
Santa Maria Maggiore;103062;-1;1;0.7699999809265137;2020/05/09
Stresa;103064;-1;11;2.259999990463257;2020/05/09
Toceno;103065;-1;2;2.740000009536743;2020/05/09
